序号,单词,词性,中文释义,释义状态,自动检查,来源义项ID,补充说明
0450,ceiling,noun,noun. 天花板；上限；最高限度,AI初稿完成,通过,ceiling%1:06:00::|ceiling%1:10:00::|ceiling%1:07:01::,
0451,celebrate,verb,verb. 庆祝；赞美；举行仪式,AI初稿完成,通过,celebrate%2:41:00::|celebrate%2:41:01::|celebrate%2:41:02::,
0452,celebrity,noun,noun. 名人；名望,AI初稿完成,通过,celebrity%1:18:00::|celebrity%1:26:00::,
0453,cell,noun,noun. 细胞；小房间；电池；基层小组；手机,AI初稿完成,通过,cell%1:03:00::|cell%1:06:03::|cell%1:06:00::|cell%1:14:00::|cell%1:06:04::,
0454,cent,noun,noun. 分（货币单位）；一分硬币,AI初稿完成,通过,cent%1:23:00::|cent%1:21:00::,
0455,centimetre,noun,noun. 厘米；公分,AI初稿完成,通过,centimetre%1:23:00::|centimeter%1:23:00::,
0456,central,adjective；noun,adjective. 中心的；中央的；最重要的；noun. 电话交换中心,AI初稿完成,通过,central%3:00:01::|central%5:00:00:important:00|central%1:06:00::,
0457,centre,noun；verb；adjective,noun. 中心；中央；活动中心；verb. 把……置于中心；集中；adjective. 中间的；政治立场中间的,AI初稿完成,通过,centre%1:15:00::|centre%1:15:01::|centre%1:15:03::|centre%3:00:01::,OEWN 候选支持名词和形容词义；补充常用动词用法。
0458,century,noun,noun. 世纪；一百年；一百个,AI初稿完成,通过,century%1:28:00::|century%1:23:00::,
0459,certain,adjective,adjective. 某一；某些；确定的；必然的,AI初稿完成,通过,certain%5:00:00:definite:00|certain%3:00:02::|certain%3:00:01::|certain%3:00:03::,
0460,certainly,adverb,adverb. 当然；无疑；确定地,AI初稿完成,通过,certainly%4:02:00::,
0461,certificate,noun；verb,noun. 证明书；证书；执照；verb. 发证书给；认证,AI初稿完成,通过,certificate%1:10:00::|certificate%1:21:00::|certificate%2:40:00::|certificate%2:32:00::,
0462,chain,noun；verb,noun. 链；链条；一系列；连锁店；束缚；verb. 用链拴住；把……连在一起,AI初稿完成,通过,chain%1:06:00::|chain%1:14:00::|chain%1:14:02::|chain%1:06:03::,OEWN 候选支持名词核心义；补充常用动词用法。
0463,chair,noun；verb,noun. 椅子；主席；教授职位；verb. 主持；担任主席,AI初稿完成,通过,chair%1:06:00::|chair%1:18:00::|chair%1:04:00::,OEWN 候选支持名词核心义；补充常用动词用法。
0464,chairman,noun；verb,noun. 男主席；男主持人；verb. 担任主席,AI初稿完成,通过,chairman%1:18:01::|chairman%2:41:00::,在不强调性别时可优先使用 chairperson 或 chair。
0465,chairwoman,noun,noun. 女主席；女主持人,AI初稿完成,通过,chairwoman%1:18:01::,在不强调性别时可优先使用 chairperson 或 chair。
0466,chalk,noun；verb,noun. 粉笔；白垩；verb. 用粉笔写或画,AI初稿完成,通过,chalk%1:06:00::|chalk%1:27:00::|chalk%2:36:00::,主动排除毒品相关生僻义。
0467,challenge,noun；verb,noun. 挑战；艰巨任务；质疑；verb. 挑战；质疑；考验,AI初稿完成,通过,challenge%1:26:00::|challenge%1:10:00::|challenge%1:10:01::,OEWN 候选支持名词核心义；补充常用动词用法。
0468,champion,noun；adjective；verb,noun. 冠军；拥护者；adjective. 冠军的；最优秀的；verb. 拥护；捍卫,AI初稿完成,通过,champion%1:18:01::|champion%1:18:00::|champion%5:00:00:best:00,OEWN 候选支持名词和形容词义；补充常用动词用法。
0469,chance,noun；adjective；verb,noun. 机会；可能性；偶然；风险；adjective. 偶然的；意外的；verb. 偶然发生；冒险,AI初稿完成,通过,chance%1:26:00::|chance%1:19:00::|chance%1:07:00::|chance%1:04:00::|chance%5:00:00:unplanned:00,OEWN 候选支持名词和形容词义；补充常用动词用法。
0470,change,noun；verb,noun. 变化；改变；零钱；verb. 改变；更换；兑换,AI初稿完成,通过,change%1:11:00::|change%1:04:00::|change%1:19:00::|change%1:21:02::,OEWN 候选支持名词核心义；补充中学阶段高频动词用法。
0471,channel,noun；verb,noun. 频道；渠道；水道；海峡；verb. 引导；输送；把……用于,AI初稿完成,通过,channel%1:10:00::|channel%1:10:01::|channel%1:06:00::|channel%1:17:00::,OEWN 候选支持名词核心义；补充常用动词用法。
0472,chaos,noun,noun. 混乱；混沌；混沌系统,AI初稿完成,通过,chaos%1:26:00::|chaos%1:19:00::|chaos%1:09:00::,
0473,chapter,noun,noun. 章；篇；人生阶段；地方分会,AI初稿完成,通过,chapter%1:10:00::|chapter%1:28:00::|chapter%1:14:00::|chapter%1:11:00::,
0474,character,noun,noun. 人物；角色；性格；品质；字符,AI初稿完成,通过,character%1:18:02::|character%1:09:00::|character%1:07:01::|character%1:09:01::,“字符”按计算机和书写中的通行用法补充。
0475,characteristic,noun；adjective,noun. 特征；特点；adjective. 典型的；特有的,AI初稿完成,通过,characteristic%1:09:00::|characteristic%1:07:00::|characteristic%3:00:00::,
0476,charge,noun；verb,noun. 费用；指控；电荷；负责；冲锋；verb. 收费；指控；充电；冲向；委托,AI初稿完成,通过,charge%1:21:02::|charge%1:10:00::|charge%1:19:00::|charge%1:04:00::|charge%1:04:01::,OEWN 候选支持名词核心义；补充中学阶段高频动词用法。
0477,charity,noun,noun. 慈善；慈善机构；善意；施舍,AI初稿完成,通过,charity%1:04:00::|charity%1:14:01::|charity%1:14:00::|charity%1:07:00::,主动排除植物学同名义。
0478,chart,noun；verb,noun. 图表；海图；排行榜；verb. 绘制图表；详细规划,AI初稿完成,通过,chart%1:10:00::|chart%1:06:00::|chart%1:10:01::|chart%2:31:13::|chart%2:31:00::,
0479,chat,noun；verb,noun. 闲谈；聊天；verb. 闲聊；聊天,AI初稿完成,通过,chat%1:10:00::|chat%2:32:00::,主动排除鸟类同名义。
0480,cheap,adjective；adverb,adjective. 便宜的；廉价的；质量差的；小气的；adverb. 低价地,AI初稿完成,通过,cheap%3:00:00::|cheap%5:00:00:inferior:02|cheap%5:00:00:stingy:00,补充口语中的副词用法。
0481,cheat,noun；verb,noun. 骗子；欺骗；作弊；verb. 欺骗；作弊,AI初稿完成,通过,cheat%1:18:00::|cheat%1:04:01::|cheat%1:04:00::,主动排除杂草同名义；补充常用动词用法。
0482,check,verb；noun,verb. 检查；核对；制止；托运；noun. 检查；支票；账单；方格图案,AI初稿完成,通过,check%1:09:00::|check%1:21:00::|check%1:10:00::|check%1:09:01::,OEWN 候选支持名词核心义；补充中学阶段高频动词用法。
0483,cheek,noun；verb,noun. 脸颊；面颊；无礼；verb. 对……无礼地说话,AI初稿完成,通过,cheek%1:08:00::|cheek%1:10:00::|cheek%1:07:00::|cheek%2:32:00::,主动排除不适合基础教学的身体俚语义。
0484,cheer,verb；noun,verb. 欢呼；鼓励；使振奋；noun. 欢呼声；愉快的情绪,AI初稿完成,通过,cheer%2:37:02::|cheer%2:32:02::|cheer%2:32:03::|cheer%1:10:00::|cheer%1:07:00::,
0485,cheese,noun,noun. 奶酪；干酪,AI初稿完成,通过,cheese%1:13:00::,主动排除植物同名义和非基础口语命令义。
0486,chef,noun,noun. 厨师；主厨,AI初稿完成,通过,chef%1:18:01::,
0487,chemical,adjective；noun,adjective. 化学的；化学制品造成的；noun. 化学品；化学物质,AI初稿完成,通过,chemical%3:01:00::|chemical%3:01:01::|chemical%1:27:00::,
0488,chemist,noun,noun. 化学家；药剂师,AI初稿完成,通过,chemist%1:18:00::|chemist%1:18:01::,药剂师义主要见于英式英语。
0489,chemistry,noun,noun. 化学；化学性质；人与人之间的默契,AI初稿完成,通过,chemistry%1:09:00::|chemistry%1:27:00::|chemistry%1:24:00::,
0490,chess,noun,noun. 国际象棋,AI初稿完成,通过,chess%1:04:00::,主动排除 OEWN 首列中的杂草同名义。
0491,chest,noun,noun. 胸部；胸膛；大箱子；抽屉柜,AI初稿完成,通过,chest%1:08:00::|chest%1:08:01::|chest%1:06:00::|chest%1:06:01::,
0492,chew,verb；noun,verb. 咀嚼；嚼碎；noun. 咀嚼；供咀嚼的东西,AI初稿完成,通过,chew%2:34:00::|chew%1:04:00::|chew%1:13:00::,
0493,chicken,noun；adjective,noun. 鸡；鸡肉；胆小鬼；adjective. 胆怯的；胆小的,AI初稿完成,通过,chicken%1:05:01::|chicken%1:13:00::|chicken%1:18:00::|chicken%5:00:00:cowardly:00,
0494,chief,noun；adjective,noun. 首领；负责人；酋长；adjective. 主要的；最重要的,AI初稿完成,通过,chief%1:18:00::|chief%1:18:01::|chief%1:18:02::|chief%5:00:02:important:00,
0495,child,noun,noun. 儿童；孩子；子女,AI初稿完成,通过,child%1:18:00::|child%1:18:01::,主动排除贬义和非核心族群义。
0496,China,proper_noun,proper_noun. 中国,AI初稿完成,通过,,通用国家专名；OEWN 无对应候选义项，未使用旧词表释义，并与小写 china 分开。
0497,china,noun,noun. 瓷器；瓷餐具,AI初稿完成,通过,china%1:06:00::|china%1:06:01::,小写普通名词，与国家专名 China 分开。
0498,Chinese,adjective；noun,adjective. 中国的；中国人的；汉语的；noun. 中国人；汉语,AI初稿完成,通过,chinese%3:01:00::|chinese%1:10:00::|chinese%1:18:00::,主动省略带有历史政治措辞的来源表述，保留中性教学释义。
0499,chocolate,noun；adjective,noun. 巧克力；热巧克力饮料；巧克力色；adjective. 巧克力的；深棕色的,AI初稿完成,通过,chocolate%1:13:00::|chocolate%1:13:02::|chocolate%1:07:00::,补充常用形容词用法。
0500,choice,noun；adjective,noun. 选择；选择权；入选者；adjective. 优质的；精选的,AI初稿完成,通过,choice%1:04:00::|choice%1:09:02::|choice%1:09:00::|choice%5:00:00:superior:02,
0501,choke,verb；noun,verb. 窒息；噎住；使无法呼吸；阻塞；noun. 阻风门；扼流圈,AI初稿完成,通过,choke%2:29:00::|choke%2:35:00::|choke%1:06:00::|choke%1:06:01::,主动省略暴力性非核心义。
0502,choose,verb,verb. 选择；挑选；决定,AI初稿完成,通过,choose%2:31:00::|choose%2:31:02::|choose%2:31:01::,
0503,chopsticks,noun,noun. 筷子,AI初稿完成,通过,,通用餐具名称；OEWN 无对应候选义项，未使用旧词表释义。
0504,chorus,noun；verb,noun. 合唱；合唱团；副歌；齐声；verb. 齐声说或唱,AI初稿完成,通过,chorus%1:14:00::|chorus%1:10:00::|chorus%1:11:00::|chorus%1:14:01::,OEWN 候选支持名词核心义；补充常用动词用法。
0505,Christmas,proper_noun,proper_noun. 圣诞节；圣诞节期间,AI初稿完成,通过,christmas%1:28:00::|christmas%1:28:01::,节日专名按专有名词展示。
0506,church,noun；verb,noun. 教堂；教会；礼拜；verb. 为……举行教会仪式,AI初稿完成,通过,church%1:06:00::|church%1:14:00::|church%1:04:00::|church%2:38:00::,
0507,cigarette,noun,noun. 香烟；纸烟,AI初稿完成,通过,cigarette%1:06:00::,
0508,cinema,noun,noun. 电影院；电影艺术；电影业,AI初稿完成,通过,cinema%1:06:00::|cinema%1:10:00::,
0509,circle,noun；verb,noun. 圆；圆圈；圈子；环行；verb. 环绕；盘旋；圈出,AI初稿完成,通过,circle%1:25:00::|circle%1:14:00::|circle%1:04:00::|circle%1:25:01::,OEWN 候选支持名词核心义；补充常用动词用法。
0510,circuit,noun,noun. 电路；环行路线；巡回；区域,AI初稿完成,通过,circuit%1:06:00::|circuit%1:04:00::|circuit%1:15:00::|circuit%1:15:01::,
0511,circumstance,noun,noun. 情况；条件；环境；境况,AI初稿完成,通过,circumstance%1:26:01::|circumstance%1:26:02::|circumstance%1:09:00::,
0512,circus,noun,noun. 马戏团；马戏表演；圆形竞技场；混乱场面,AI初稿完成,通过,circus%1:14:00::|circus%1:04:00::|circus%1:06:00::|circus%1:04:01::,
0513,cite,verb；noun,verb. 引用；引证；举例；表彰；noun. 引文出处；引证,AI初稿完成,通过,cite%2:32:00::|cite%2:36:00::|cite%2:32:02::|cite%2:32:01::|cite%1:10:00::,
0514,citizen,noun,noun. 公民；市民,AI初稿完成,通过,citizen%1:18:00::,
0515,city,noun,noun. 城市；市；全市居民,AI初稿完成,通过,city%1:15:00::|city%1:15:01::|city%1:14:00::,
0516,civil,adjective,adjective. 公民的；民用的；民事的；国内的；有礼貌的,AI初稿完成,通过,civil%5:00:00:civilian:00|civil%3:01:01::|civil%3:01:00::|civil%3:00:00::,
0517,civilian,noun；adjective,noun. 平民；文职人员；adjective. 平民的；民用的,AI初稿完成,通过,civilian%1:18:00::|civilian%3:00:00::,
0518,civilisation,noun,noun. 文明；文明社会；教化,AI初稿完成,通过,civilisation%1:22:00::|civilisation%1:14:01::|civilisation%1:14:00::|civilisation%1:07:00::,
0519,claim,verb；noun,verb. 声称；索取；认领；夺去生命；noun. 声称；要求；权利；索赔,AI初稿完成,通过,claim%1:10:02::|claim%1:10:00::|claim%1:04:00::|claim%1:07:01::,OEWN 候选支持名词核心义；补充中学阶段高频动词用法。
0520,clap,verb；noun,verb. 拍手；鼓掌；猛地放置；noun. 鼓掌；拍击声,AI初稿完成,通过,clap%1:11:01::|clap%1:11:00::|clap%2:35:03::,主动排除疾病俚语义；补充最常用的拍手动词义。
0521,clarify,verb,verb. 阐明；说明；澄清；净化,AI初稿完成,通过,clarify%2:32:00::|clarify%2:30:02::,
0522,class,noun；verb,noun. 班级；课；阶级；类别；verb. 把……分类,AI初稿完成,通过,class%1:14:03::|class%1:04:00::|class%1:14:01::|class%1:14:00::,OEWN 候选支持名词核心义；补充常用动词用法。
0523,classic,adjective；noun,adjective. 经典的；典型的；一流的；传统的；noun. 经典作品；名著,AI初稿完成,通过,classic%3:00:00::|classic%5:00:00:typical:00|classic%5:00:00:superior:02|classic%5:00:00:traditional:00|classic%1:06:00::,
0524,classmate,noun,noun. 同班同学,AI初稿完成,通过,classmate%1:18:00::,
0525,classroom,noun,noun. 教室；课堂,AI初稿完成,通过,classroom%1:06:00::,
0526,clay,noun,noun. 黏土；陶土；泥土,AI初稿完成,通过,clay%1:27:00::|clay%1:27:02::,主动排除表示尸体的古旧义。
0527,clean,adjective；verb；adverb,adjective. 干净的；清洁的；无污染的；verb. 打扫；清洁；adverb. 完全地,AI初稿完成,通过,clean%3:00:01::|clean%5:00:01:pure:02|clean%5:00:00:pure:02,OEWN 候选支持形容词核心义；补充中学阶段高频动词、副词用法。
0528,clear,adjective；verb；adverb,adjective. 清楚的；明显的；透明的；畅通的；verb. 清除；澄清；通过；变晴；adverb. 完全地；一直,AI初稿完成,通过,clear%3:00:00::|clear%5:00:00:clearheaded:00|clear%5:00:00:unobstructed:00|clear%3:00:02::,OEWN 候选支持形容词核心义；补充中学阶段常用动词、副词用法。
0529,clerk,noun；verb,noun. 职员；办事员；店员；verb. 当职员,AI初稿完成,通过,clerk%1:18:00::|clerk%1:18:01::|clerk%2:41:00::,
0530,clever,adjective,adjective. 聪明的；机灵的；熟练的；巧妙的,AI初稿完成,通过,clever%5:00:00:intelligent:00|clever%5:00:00:adroit:00|clever%5:00:00:smart:00,
0531,click,noun；verb,noun. 咔嗒声；鼠标点击；verb. 点击；发出咔嗒声；突然明白,AI初稿完成,通过,click%1:11:00::|click%1:04:00::|click%2:38:00::,补充现代英语高频的鼠标点击动词义和“突然明白”用法。
0532,client,noun,noun. 客户；委托人；客户端,AI初稿完成,通过,client%1:18:01::|client%1:18:00::|client%1:06:00::,
0533,climate,noun,noun. 气候；社会风气；氛围,AI初稿完成,通过,climate%1:26:00::|climate%1:26:01::,
0534,climb,verb；noun,verb. 攀登；爬；上升；noun. 攀登；上升；斜坡,AI初稿完成,通过,climb%2:38:00::|climb%2:38:01::|climb%1:04:00::|climb%1:11:00::|climb%1:17:00::,
0535,clinic,noun,noun. 诊所；门诊部；专题辅导班,AI初稿完成,通过,clinic%1:06:00::|clinic%1:14:00::|clinic%1:10:00::,
0536,clock,noun；verb,noun. 时钟；钟；verb. 计时；测出速度,AI初稿完成,通过,clock%1:06:00::|clock%2:30:00::,
0537,clone,noun；verb,noun. 克隆体；复制品；verb. 克隆；复制,AI初稿完成,通过,clone%1:14:00::|clone%1:06:00::|clone%1:18:00::|clone%2:36:00::,
0538,close,verb；adjective；adverb；noun,verb. 关闭；闭合；结束；adjective. 近的；亲密的；严密的；adverb. 接近地；紧挨着；noun. 结束,AI初稿完成,通过,close%3:00:01::|close%3:00:02::|close%3:00:05::|close%5:00:00:careful:00,OEWN 当前候选支持形容词核心义；补充中学阶段高频动词、副词、名词用法。
0539,cloth,noun,noun. 布；织物；抹布,AI初稿完成,通过,cloth%1:06:00::,
0540,clothes,noun,noun. 衣服；服装,AI初稿完成,通过,clothes%1:06:00::,通常作为复数集合名词使用。
0541,cloud,noun；verb,noun. 云；云状物；阴影；verb. 使模糊；遮蔽；变阴沉,AI初稿完成,通过,cloud%1:17:00::|cloud%1:19:01::|cloud%1:26:02::,OEWN 候选支持名词核心义；补充常用动词用法。
0542,cloudy,adjective,adjective. 多云的；浑浊的；模糊的,AI初稿完成,通过,cloudy%3:00:00::|cloudy%5:00:00:opaque:00|cloudy%5:00:00:indistinct:00,
0543,club,noun；verb,noun. 俱乐部；社团；球棒；高尔夫球杆；verb. 用棍棒打；聚集；泡夜店,AI初稿完成,通过,club%1:14:00::|club%1:06:00::|club%1:06:01::|club%1:06:02::,OEWN 候选支持名词核心义；补充常用动词用法。
0544,clue,noun；verb,noun. 线索；提示；verb. 给……提供线索,AI初稿完成,通过,clue%1:10:00::|clue%1:10:01::,主动排除线团动词生僻义；补充常用动词用法。
0545,coach,noun；verb,noun. 教练；私人教师；长途客车；车厢；verb. 训练；指导,AI初稿完成,通过,coach%1:18:01::|coach%1:18:00::|coach%1:06:02::|coach%1:06:01::,OEWN 候选支持名词核心义；补充常用动词用法。
0546,coal,noun；verb,noun. 煤；煤块；余烬；verb. 给……加煤,AI初稿完成,通过,coal%1:27:00::|coal%1:17:00::|coal%2:40:00::,
0547,coast,noun；verb,noun. 海岸；海滨；verb. 滑行；轻松取得进展,AI初稿完成,通过,coast%1:17:00::|coast%1:04:00::|coast%2:38:00::,
0548,coat,noun；verb,noun. 外套；覆盖层；动物皮毛；verb. 给……涂层；覆盖,AI初稿完成,通过,coat%1:06:00::|coat%1:06:01::|coat%1:05:00::|coat%2:35:00::,
0549,coffee,noun,noun. 咖啡；咖啡豆；咖啡树；咖啡色,AI初稿完成,通过,coffee%1:13:00::|coffee%1:13:01::|coffee%1:20:00::|coffee%1:07:00::,
0550,coin,noun；verb,noun. 硬币；verb. 铸币；创造新词,AI初稿完成,通过,coin%1:21:02::|coin%2:36:00::|coin%2:36:01::,
0551,cold,adjective；noun；adverb,adjective. 冷的；寒冷的；冷淡的；noun. 寒冷；感冒；adverb. 突然地；毫无准备地,AI初稿完成,通过,cold%3:00:01::|cold%3:00:02::,OEWN 候选支持形容词核心义；补充中学阶段高频名词和副词用法。
0552,collapse,verb；noun,verb. 倒塌；崩溃；昏倒；noun. 倒塌；崩溃；虚脱,AI初稿完成,通过,collapse%2:38:00::|collapse%1:11:00::|collapse%1:26:01::|collapse%1:04:01::|collapse%1:11:01::,
0553,collar,noun；verb,noun. 衣领；项圈；环状零件；verb. 抓住；给……戴上项圈,AI初稿完成,通过,collar%1:06:00::|collar%1:06:05::|collar%1:06:04::,OEWN 候选支持名词核心义；补充常用动词用法。
0554,collect,verb；adjective；adverb,verb. 收集；领取；接走；募捐；adjective. 由收件人付费的；adverb. 由收件人付费地,AI初稿完成,通过,collect%2:40:00::|collect%2:40:01::|collect%5:00:00:due:00|collect%4:02:00::,主动排除宗教短祷文生僻名词义。
0555,collection,noun,noun. 收藏；收集；收藏品；作品集,AI初稿完成,通过,collection%1:14:00::|collection%1:04:00::|collection%1:10:00::,
0556,college,noun,noun. 学院；大学；学院师生,AI初稿完成,通过,college%1:14:01::|college%1:06:00::|college%1:14:00::,
0557,colour,noun；verb；adjective,noun. 颜色；色彩；特色；verb. 给……着色；影响；adjective. 彩色的,AI初稿完成,通过,colour%1:27:00::|colour%1:07:03::|colour%3:00:02::,OEWN 当前候选未完整覆盖最基础的颜色名词及动词义，按中学常用用法补充。
0558,column,noun,noun. 柱；圆柱；列；专栏；队列,AI初稿完成,通过,column%1:25:02::|column%1:14:01::|column%1:10:00::|column%1:14:00::,
0559,combine,verb；noun,verb. 结合；联合；兼有；noun. 联合企业；联合收割机,AI初稿完成,通过,combine%2:30:02::|combine%2:42:00::|combine%1:14:00::|combine%1:06:00::,
0560,come,verb,verb. 来；到达；发生；进入某种状态,AI初稿完成,通过,come%2:38:00::|come%2:38:04::|come%2:30:01::|come%2:30:03::,主动排除 OEWN 首个不适合基础教学的粗俗名词义。
0561,comedy,noun,noun. 喜剧；喜剧性事件,AI初稿完成,通过,comedy%1:10:00::|comedy%1:10:01::,
0562,comfort,noun；verb,noun. 舒适；安慰；慰藉；verb. 安慰；使舒适,AI初稿完成,通过,comfort%1:26:00::|comfort%1:12:00::|comfort%1:04:00::|comfort%1:26:02::,OEWN 候选支持名词核心义；补充常用动词用法。
0563,comfortable,adjective,adjective. 舒适的；自在的；宽裕的,AI初稿完成,通过,comfortable%3:00:00::|comfortable%3:00:01::|comfortable%5:00:00:sufficient:00|comfortable%5:00:00:rich:00,
0564,comic,adjective；noun,adjective. 滑稽的；喜剧的；noun. 喜剧演员；漫画书,AI初稿完成,通过,comic%5:00:00:humorous:00|comic%3:01:00::|comic%1:18:00::,补充现代英语高频的漫画书名词义。
0565,comment,noun；verb,noun. 评论；意见；注释；verb. 评论；解释,AI初稿完成,通过,comment%1:10:00::|comment%1:10:01::|comment%2:32:00::|comment%2:32:10::,主动省略恶意传闻义。
0566,commercial,adjective；noun,adjective. 商业的；贸易的；以营利为目的的；noun. 商业广告,AI初稿完成,通过,commercial%3:00:00::|commercial%5:00:01:commercial:00|commercial%1:10:00::,
0567,commit,verb,verb. 犯（罪或错误）；承诺；投入；提交；收押,AI初稿完成,通过,commit%2:41:00::|commit%2:32:01::|commit%2:30:01::|commit%2:40:02::,
0568,commitment,noun,noun. 承诺；投入；责任；合同义务,AI初稿完成,通过,commitment%1:10:00::|commitment%1:04:00::|commitment%1:07:01::|commitment%1:04:02::,主动省略收押相关非核心义。
0569,committee,noun,noun. 委员会；专门小组,AI初稿完成,通过,committee%1:14:00::|committee%1:14:01::,
0570,common,adjective；noun,adjective. 常见的；普通的；共同的；公共的；noun. 公共用地；平民,AI初稿完成,通过,common%3:00:01::|common%5:00:00:shared:00|common%3:00:02::|common%5:00:00:familiar:02,OEWN 候选支持形容词核心义；补充常见名词化用法。
0571,communicate,verb,verb. 交流；传达；传播；连接,AI初稿完成,通过,communicate%2:32:01::|communicate%2:32:00::|communicate%2:32:02::|communicate%2:35:00::,
0572,communication,noun,noun. 交流；沟通；信息；通信；联系通道,AI初稿完成,通过,communication%1:10:01::|communication%1:03:00::|communication%1:24:00::,
0573,communist,noun；adjective,noun. 共产主义者；共产党员；adjective. 共产主义的；共产党的,AI初稿完成,通过,communist%1:18:00::|communist%3:01:00::,
0574,community,noun,noun. 社区；群体；共同体；共同性,AI初稿完成,通过,community%1:14:00::|community%1:14:03::|community%1:14:04::|community%1:26:00::,
0575,company,noun,noun. 公司；陪伴；剧团；连队；来客,AI初稿完成,通过,company%1:14:01::|company%1:26:00::|company%1:14:02::|company%1:14:03::|company%1:18:00::,
0576,compare,verb；noun,verb. 比较；对照；比作；noun. 比较；相比,AI初稿完成,通过,compare%2:31:00::|compare%2:42:00::|compare%2:31:01::|compare%1:07:00::,
0577,comparison,noun,noun. 比较；对照；相似关系,AI初稿完成,通过,comparison%1:04:00::|comparison%1:24:00::|comparison%1:07:00::,
0578,compete,verb,verb. 竞争；比赛,AI初稿完成,通过,compete%2:33:00::,
0579,competence,noun,noun. 能力；胜任；称职,AI初稿完成,通过,competence%1:07:00::,
0580,competition,noun,noun. 竞争；比赛；竞争者,AI初稿完成,通过,competition%1:04:00::|competition%1:11:00::|competition%1:24:01::|competition%1:18:00::,
0581,complain,verb,verb. 抱怨；投诉；正式控告,AI初稿完成,通过,complain%2:32:00::|complain%2:32:01::,
0582,complete,adjective；verb,adjective. 完整的；完全的；完成的；verb. 完成；使完整；填写,AI初稿完成,通过,complete%3:00:00::|complete%5:00:00:perfect:00|complete%5:00:00:finished:01,OEWN 候选支持形容词核心义；补充中学阶段高频动词用法。
0583,complex,adjective；noun,adjective. 复杂的；难懂的；noun. 综合体；建筑群；情结；复合物,AI初稿完成,通过,complex%3:00:00::|complex%5:00:01:complex:00|complex%1:09:00::|complex%1:12:00::|complex%1:27:00::,
0584,complicated,adjective,adjective. 复杂的；难处理的,AI初稿完成,通过,complicated%5:00:00:complex:00,
0585,component,noun；adjective,noun. 组成部分；部件；成分；adjective. 组成的；构成的,AI初稿完成,通过,component%1:09:00::|component%1:24:00::|component%1:06:00::,补充常用形容词用法。
0586,compose,verb,verb. 组成；构成；创作；作曲；使镇静,AI初稿完成,通过,compose%2:42:00::|compose%2:36:03::|compose%2:36:01::|compose%2:36:09::|compose%2:37:00::,
0587,composition,noun,noun. 组成；成分；作文；作品；作曲,AI初稿完成,通过,composition%1:07:01::|composition%1:27:00::|composition%1:10:01::|composition%1:04:02::,补充学校教学中的高频“作文”义。
0588,comprehension,noun,noun. 理解；理解力；阅读理解,AI初稿完成,通过,comprehension%1:09:00::|comprehension%1:24:00::,
0589,comprehensive,adjective；noun,adjective. 全面的；综合的；广泛的；noun. 综合考试,AI初稿完成,通过,comprehensive%3:00:00::|comprehensive%5:00:00:inclusive:00|comprehensive%1:10:00::,
0590,comprise,verb,verb. 包括；由……组成；构成,AI初稿完成,通过,comprise%2:42:00::|comprise%2:42:01::|comprise%2:42:03::,
0591,computer,noun,noun. 计算机；电脑；计算人员,AI初稿完成,通过,computer%1:06:00::|computer%1:18:00::,
0592,concentrate,verb；noun,verb. 集中；专心；浓缩；noun. 浓缩物；精矿,AI初稿完成,通过,concentrate%2:31:00::|concentrate%2:30:01::|concentrate%1:13:00::|concentrate%1:27:00::,
0593,concept,noun,noun. 概念；观念,AI初稿完成,通过,concept%1:09:00::,
0594,concern,noun；verb,noun. 担忧；关心；有关的事；企业；verb. 涉及；使担心；关心,AI初稿完成,通过,concern%1:12:01::|concern%1:12:00::|concern%1:09:00::|concern%1:14:00::,OEWN 候选支持名词核心义；补充中学阶段高频动词用法。
0595,concert,noun；verb,noun. 音乐会；演奏会；verb. 共同商定；协调,AI初稿完成,通过,concert%1:10:00::|concert%2:36:00::|concert%2:32:00::,
0596,conclude,verb,verb. 得出结论；结束；达成协议,AI初稿完成,通过,conclude%2:31:00::|conclude%2:31:01::|conclude%2:42:02::|conclude%2:32:06::,
0597,conclusion,noun,noun. 结论；结束；推论,AI初稿完成,通过,conclusion%1:09:00::|conclusion%1:28:00::|conclusion%1:11:00::|conclusion%1:10:01::,
0598,concrete,adjective；noun；verb,adjective. 具体的；有形的；noun. 混凝土；verb. 用混凝土覆盖；凝固,AI初稿完成,通过,concrete%3:00:00::|concrete%5:00:00:solid:01|concrete%1:27:00::|concrete%2:35:00::|concrete%2:30:00::,
0599,condition,noun；verb,noun. 状况；条件；健康状态；verb. 决定；使适应；训练；保养,AI初稿完成,通过,condition%1:26:00::|condition%1:10:01::|condition%1:26:01::|condition%1:26:02::,OEWN 候选支持名词核心义；补充常用动词用法。
0600,conduct,verb；noun,verb. 组织；实施；指挥；引导；传导；noun. 行为；举止,AI初稿完成,通过,conduct%2:41:00::|conduct%2:36:00::|conduct%2:38:01::|conduct%1:04:00::|conduct%1:07:00::,
0601,conference,noun,noun. 会议；研讨会；商谈；体育联盟,AI初稿完成,通过,conference%1:14:00::|conference%1:10:00::|conference%1:14:01::,
0602,confidence,noun,noun. 信心；信任；把握；秘密,AI初稿完成,通过,confidence%1:09:00::|confidence%1:12:00::|confidence%1:26:02::|confidence%1:10:00::,
0603,confirm,verb,verb. 确认；证实；批准；使更加坚定,AI初稿完成,通过,confirm%2:31:00::|confirm%2:32:00::|confirm%2:30:00::|confirm%2:41:01::,
