token,earliest_level,document_levels,source_ids,source_entry_count,source_entries
cohesion,cet4,cet4,cet-english-2016-revised-word-list,1,cohesion cohesive
cohesive,cet4,cet4,cet-english-2016-revised-word-list,1,cohesion cohesive
coil,cet4,cet4,cet-english-2016-revised-word-list,1,coil
coin,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,coin || coin coinage
coinage,cet4,cet4,cet-english-2016-revised-word-list,1,coin coinage
coincide,cet6,cet6,cet-english-2016-revised-word-list,1,★ coincide coincidence
coincidence,cet6,cet6,cet-english-2016-revised-word-list,1,★ coincide coincidence
cold,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,cold
collaborate,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,collaborate collaboration collaborative || collaborate*
collaboration,cet4,cet4,cet-english-2016-revised-word-list,1,collaborate collaboration collaborative
collaborative,cet4,cet4,cet-english-2016-revised-word-list,1,collaborate collaboration collaborative
collapse,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,collapse || collapse**
collar,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,collar || collar**
colleague,cet4,cet4,cet-english-2016-revised-word-list,1,colleague
collect,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,collect || collect collection
collection,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,collect collection || collection*
collective,cet4,cet4,cet-english-2016-revised-word-list,1,collective
college,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,college
collide,cet6,cet6,cet-english-2016-revised-word-list,1,★ collide collision
collision,cet6,cet6,cet-english-2016-revised-word-list,1,★ collide collision
colo,cet4,cet4,cet-english-2016-revised-word-list,1,colo(u)r colo(u)rful
colon,cet4,cet4,cet-english-2016-revised-word-list,1,colon semiＧcolon
colonel,cet6,cet6,cet-english-2016-revised-word-list,1,★ colonel
colonial,cet4,cet4,cet-english-2016-revised-word-list,1,colony colonial colonialism colonize/Ｇise
colonialism,cet4,cet4,cet-english-2016-revised-word-list,1,colony colonial colonialism colonize/Ｇise
colonize,cet4,cet4,cet-english-2016-revised-word-list,1,colony colonial colonialism colonize/Ｇise
colony,cet4,cet4,cet-english-2016-revised-word-list,1,colony colonial colonialism colonize/Ｇise
color,junior,junior,moe-hs-english-2017-2025-appendix-2,1,colour (color)
colour,junior,junior,moe-hs-english-2017-2025-appendix-2,1,colour (color)
column,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,column columnist || column**
columnist,cet4,cet4,cet-english-2016-revised-word-list,1,column columnist
comb,cet4,cet4,cet-english-2016-revised-word-list,1,comb
combat,cet4,cet4,cet-english-2016-revised-word-list,1,combat combative
combative,cet4,cet4,cet-english-2016-revised-word-list,1,combat combative
combination,cet4,cet4,cet-english-2016-revised-word-list,1,combine combination
combine,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,combine combination || combine**
come,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,come
comedy,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,comedy || comedy**
comet,cet6,cet6,cet-english-2016-revised-word-list,1,★ comet
comfort,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,comfort comfortable || comfort**
comfortable,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,comfort comfortable || comfortable
comic,senior_high,senior_high|cet6,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,comic** || ★ comic
comma,cet4,cet4,cet-english-2016-revised-word-list,1,comma
command,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,command commander || command*
commander,cet4,cet4,cet-english-2016-revised-word-list,1,command commander
commemorate,cet6,cet6,cet-english-2016-revised-word-list,1,★ commemorate commemoration
commemoration,cet6,cet6,cet-english-2016-revised-word-list,1,★ commemorate commemoration
commence,cet4,cet4,cet-english-2016-revised-word-list,1,commence commencement
commencement,cet4,cet4,cet-english-2016-revised-word-list,1,commence commencement
commend,cet6,cet6,cet-english-2016-revised-word-list,1,★ commend commendation
commendation,cet6,cet6,cet-english-2016-revised-word-list,1,★ commend commendation
comment,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,comment commentary commentator || comment*
commentary,cet4,cet4,cet-english-2016-revised-word-list,1,comment commentary commentator
commentator,cet4,cet4,cet-english-2016-revised-word-list,1,comment commentary commentator
commerce,cet4,cet4,cet-english-2016-revised-word-list,1,commerce commercial commercialize/Ｇise
commercial,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,commerce commercial commercialize/Ｇise || commercial**
commercialize,cet4,cet4,cet-english-2016-revised-word-list,1,commerce commercial commercialize/Ｇise
commission,cet4,cet4,cet-english-2016-revised-word-list,1,commission
commit,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,commit commitment || commit**
commitment,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,commit commitment || commitment**
committee,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,committee || committee*
commodity,cet4,cet4,cet-english-2016-revised-word-list,1,commodity
common,junior,junior|senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,3,BCE (Before the Common Era)** || CE (Common Era)** || common
commonplace,cet4,cet4,cet-english-2016-revised-word-list,1,commonplace
commonwealth,cet6,cet6,cet-english-2016-revised-word-list,1,★ commonwealth
commune,cet4,cet4,cet-english-2016-revised-word-list,1,commune communist communism
communicate,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,communicate || communicate communication communicative
communication,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,communicate communication communicative || communication*
communicative,cet4,cet4,cet-english-2016-revised-word-list,1,communicate communication communicative
communism,cet4,cet4,cet-english-2016-revised-word-list,1,commune communist communism
communist,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,commune communist communism || communist**
community,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,community
commute,cet4,cet4,cet-english-2016-revised-word-list,1,commute commuter
commuter,cet4,cet4,cet-english-2016-revised-word-list,1,commute commuter
compact,cet4,cet4,cet-english-2016-revised-word-list,1,compact
companion,cet4,cet4,cet-english-2016-revised-word-list,1,companion companionship
companionship,cet4,cet4,cet-english-2016-revised-word-list,1,companion companionship
company,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,company
comparable,cet4,cet4,cet-english-2016-revised-word-list,1,compare comparison comparative comparable
comparative,cet4,cet4,cet-english-2016-revised-word-list,1,compare comparison comparative comparable
compare,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,compare || compare comparison comparative comparable
comparison,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,compare comparison comparative comparable || comparison**
compartment,cet6,cet6,cet-english-2016-revised-word-list,1,★ compartment
compass,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,compass || compass*
compassion,cet6,cet6,cet-english-2016-revised-word-list,1,★ compassion compassionate
compassionate,cet6,cet6,cet-english-2016-revised-word-list,1,★ compassion compassionate
compatibility,cet4,cet4,cet-english-2016-revised-word-list,1,compatible compatibility
compatible,cet4,cet4,cet-english-2016-revised-word-list,1,compatible compatibility
compel,cet4,cet4,cet-english-2016-revised-word-list,1,compel compelling
compelling,cet4,cet4,cet-english-2016-revised-word-list,1,compel compelling
compensate,cet4,cet4,cet-english-2016-revised-word-list,1,compensate compensation compensatory
compensation,cet4,cet4,cet-english-2016-revised-word-list,1,compensate compensation compensatory
compensatory,cet4,cet4,cet-english-2016-revised-word-list,1,compensate compensation compensatory
compete,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,compete || compete competition competitive competitor
competence,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,competence** || competent competence
competent,cet4,cet4,cet-english-2016-revised-word-list,1,competent competence
competition,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,compete competition competitive competitor || competition*
competitive,cet4,cet4,cet-english-2016-revised-word-list,1,compete competition competitive competitor
competitor,cet4,cet4,cet-english-2016-revised-word-list,1,compete competition competitive competitor
compilation,cet6,cet6,cet-english-2016-revised-word-list,1,★ compile compilation
compile,cet6,cet6,cet-english-2016-revised-word-list,1,★ compile compilation
complacency,cet6,cet6,cet-english-2016-revised-word-list,1,★ complacent complacency
complacent,cet6,cet6,cet-english-2016-revised-word-list,1,★ complacent complacency
complain,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,complain complaint || complain**
complaint,cet4,cet4,cet-english-2016-revised-word-list,1,complain complaint
complement,cet6,cet6,cet-english-2016-revised-word-list,1,★ complement complementary
complementary,cet6,cet6,cet-english-2016-revised-word-list,1,★ complement complementary
complete,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,complete || complete completion
completion,cet4,cet4,cet-english-2016-revised-word-list,1,complete completion
complex,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,complex complexity || complex**
complexion,cet6,cet6,cet-english-2016-revised-word-list,1,★ complexion
complexity,cet4,cet4,cet-english-2016-revised-word-list,1,complex complexity
compliance,cet4,cet4,cet-english-2016-revised-word-list,1,comply compliance
complicate,cet4,cet4,cet-english-2016-revised-word-list,1,complicate complicated complication
complicated,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,complicate complicated complication || complicated**
complication,cet4,cet4,cet-english-2016-revised-word-list,1,complicate complicated complication
compliment,cet6,cet6,cet-english-2016-revised-word-list,1,★ compliment complimentary
complimentary,cet6,cet6,cet-english-2016-revised-word-list,1,★ compliment complimentary
comply,cet4,cet4,cet-english-2016-revised-word-list,1,comply compliance
component,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,component || component**
compose,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,compose composition composer || compose**
composer,cet4,cet4,cet-english-2016-revised-word-list,1,compose composition composer
composite,cet6,cet6,cet-english-2016-revised-word-list,1,★ composite
composition,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,compose composition composer || composition**
compound,cet4,cet4,cet-english-2016-revised-word-list,2,compound１ || compound２
comprehend,cet4,cet4,cet-english-2016-revised-word-list,1,comprehend comprehension
comprehension,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,comprehend comprehension || comprehension**
comprehensive,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,comprehensive || comprehensive**
compress,cet6,cet6,cet-english-2016-revised-word-list,1,★ compress compression
compression,cet6,cet6,cet-english-2016-revised-word-list,1,★ compress compression
comprise,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,comprise || comprise**
compromise,cet4,cet4,cet-english-2016-revised-word-list,1,compromise
compulsory,cet4,cet4,cet-english-2016-revised-word-list,1,compulsory
computation,cet4,cet4,cet-english-2016-revised-word-list,1,compute computer computerize/Ｇise computation
compute,cet4,cet4,cet-english-2016-revised-word-list,1,compute computer computerize/Ｇise computation
computer,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,compute computer computerize/Ｇise computation || computer
computerize,cet4,cet4,cet-english-2016-revised-word-list,1,compute computer computerize/Ｇise computation
comrade,cet4,cet4,cet-english-2016-revised-word-list,1,comrade
conceal,cet4,cet4,cet-english-2016-revised-word-list,1,conceal concealment
concealment,cet4,cet4,cet-english-2016-revised-word-list,1,conceal concealment
concede,cet6,cet6,cet-english-2016-revised-word-list,1,★ concede concession
conceit,cet6,cet6,cet-english-2016-revised-word-list,1,★ conceit conceited
conceited,cet6,cet6,cet-english-2016-revised-word-list,1,★ conceit conceited
conceive,cet6,cet6,cet-english-2016-revised-word-list,1,★ conceive conception
concentrate,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,concentrate concentration || concentrate*
concentration,cet4,cet4,cet-english-2016-revised-word-list,1,concentrate concentration
concept,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,concept conceptual || concept**
conception,cet6,cet6,cet-english-2016-revised-word-list,1,★ conceive conception
conceptual,cet4,cet4,cet-english-2016-revised-word-list,1,concept conceptual
concern,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,concern concerned concerning || concern*
concerned,cet4,cet4,cet-english-2016-revised-word-list,1,concern concerned concerning
concerning,cet4,cet4,cet-english-2016-revised-word-list,1,concern concerned concerning
concert,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,concert || concert concerted
concerted,cet4,cet4,cet-english-2016-revised-word-list,1,concert concerted
concession,cet6,cet6,cet-english-2016-revised-word-list,1,★ concede concession
concise,cet6,cet6,cet-english-2016-revised-word-list,1,★ concise
conclude,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,conclude conclusion conclusive || conclude**
conclusion,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,conclude conclusion conclusive || conclusion**
conclusive,cet4,cet4,cet-english-2016-revised-word-list,1,conclude conclusion conclusive
concrete,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,concrete || concrete**
concurrent,cet6,cet6,cet-english-2016-revised-word-list,1,★ concurrent
condemn,cet4,cet4,cet-english-2016-revised-word-list,1,condemn condemnation
condemnation,cet4,cet4,cet-english-2016-revised-word-list,1,condemn condemnation
condensation,cet4,cet4,cet-english-2016-revised-word-list,1,condense condensation
condense,cet4,cet4,cet-english-2016-revised-word-list,1,condense condensation
condition,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,condition || condition conditional conditioner
conditional,cet4,cet4,cet-english-2016-revised-word-list,1,condition conditional conditioner
conditioner,cet4,cet4,cet-english-2016-revised-word-list,1,condition conditional conditioner
condolence,cet6,cet6,cet-english-2016-revised-word-list,1,★ condolence
conducive,cet6,cet6,cet-english-2016-revised-word-list,1,★ conducive
conduct,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,conduct conductor || conduct*
conductor,cet4,cet4,cet-english-2016-revised-word-list,1,conduct conductor
confederate,cet6,cet6,cet-english-2016-revised-word-list,1,★ confederation confederate
confederation,cet6,cet6,cet-english-2016-revised-word-list,1,★ confederation confederate
confer,cet6,cet6,cet-english-2016-revised-word-list,1,★ confer
conference,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,conference || conference*
confess,cet4,cet4,cet-english-2016-revised-word-list,1,confess confession
confession,cet4,cet4,cet-english-2016-revised-word-list,1,confess confession
confide,cet6,cet6,cet-english-2016-revised-word-list,1,★ confide
confidence,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,confidence || confidence confident confidential
confident,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,confidence confident confidential || confident*
confidential,cet4,cet4,cet-english-2016-revised-word-list,1,confidence confident confidential
configuration,cet6,cet6,cet-english-2016-revised-word-list,1,★ configuration
confine,cet4,cet4,cet-english-2016-revised-word-list,1,confine confinement
confinement,cet4,cet4,cet-english-2016-revised-word-list,1,confine confinement
confirm,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,confirm confirmation || confirm*
confirmation,cet4,cet4,cet-english-2016-revised-word-list,1,confirm confirmation
conflict,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,conflict || conflict**
conform,cet4,cet4,cet-english-2016-revised-word-list,1,conform conformity
conformity,cet4,cet4,cet-english-2016-revised-word-list,1,conform conformity
confront,cet4,cet4,cet-english-2016-revised-word-list,1,confront confrontation
confrontation,cet4,cet4,cet-english-2016-revised-word-list,1,confront confrontation
confucian,cet4,cet4,cet-english-2016-revised-word-list,1,Confucian Confucianism
confucianism,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,Confucian Confucianism || Confucianism**
confucius,senior_high,senior_high,moe-hs-english-2017-2025-appendix-2,1,Confucius**
confuse,cet4,cet4,cet-english-2016-revised-word-list,1,confuse confusion
confused,senior_high,senior_high,moe-hs-english-2017-2025-appendix-2,1,confused**
confusion,cet4,cet4,cet-english-2016-revised-word-list,1,confuse confusion
congratulate,cet4,cet4,cet-english-2016-revised-word-list,1,congratulate congratulation congratulatory
congratulation,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,congratulate congratulation congratulatory || congratulation
congratulatory,cet4,cet4,cet-english-2016-revised-word-list,1,congratulate congratulation congratulatory
congregate,cet6,cet6,cet-english-2016-revised-word-list,1,★ congregate congregation
congregation,cet6,cet6,cet-english-2016-revised-word-list,1,★ congregate congregation
congress,cet4,cet4,cet-english-2016-revised-word-list,1,congress congressional
congressional,cet4,cet4,cet-english-2016-revised-word-list,1,congress congressional
conjunction,cet4,cet4,cet-english-2016-revised-word-list,1,conjunction
connect,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,connect || connect connection/Ｇxion
connection,cet4,cet4,cet-english-2016-revised-word-list,1,connect connection/Ｇxion
connotation,cet6,cet6,cet-english-2016-revised-word-list,1,★ connotation
conquer,cet4,cet4,cet-english-2016-revised-word-list,1,conquer conqueror conquest
conqueror,cet4,cet4,cet-english-2016-revised-word-list,1,conquer conqueror conquest
conquest,cet4,cet4,cet-english-2016-revised-word-list,1,conquer conqueror conquest
conscience,cet4,cet4,cet-english-2016-revised-word-list,1,conscience
conscientious,cet4,cet4,cet-english-2016-revised-word-list,1,conscientious
conscious,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,conscious consciousness || conscious**
consciousness,cet4,cet4,cet-english-2016-revised-word-list,1,conscious consciousness
consecutive,cet6,cet6,cet-english-2016-revised-word-list,1,★ consecutive
consensus,cet4,cet4,cet-english-2016-revised-word-list,1,consensus
consent,cet4,cet4,cet-english-2016-revised-word-list,1,consent
consequence,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,consequence consequent consequently || consequence**
consequent,cet4,cet4,cet-english-2016-revised-word-list,1,consequence consequent consequently
consequently,cet4,cet4,cet-english-2016-revised-word-list,1,consequence consequent consequently
conservation,senior_high,senior_high|cet6,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,conservation** || ★ conserve conservation
conservative,cet4,cet4,cet-english-2016-revised-word-list,1,conservative
conserve,cet6,cet6,cet-english-2016-revised-word-list,1,★ conserve conservation
consider,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,consider || consider consideration considering
considerable,cet4,cet4,cet-english-2016-revised-word-list,1,considerable
considerate,cet4,cet4,cet-english-2016-revised-word-list,1,considerate
consideration,cet4,cet4,cet-english-2016-revised-word-list,1,consider consideration considering
considering,cet4,cet4,cet-english-2016-revised-word-list,1,consider consideration considering
consist,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,consist || consist**
consistency,cet4,cet4,cet-english-2016-revised-word-list,1,consistent consistency
consistent,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,consistent consistency || consistent**
consolation,cet6,cet6,cet-english-2016-revised-word-list,1,★ console consolation
console,cet6,cet6,cet-english-2016-revised-word-list,1,★ console consolation
consolidate,cet4,cet4,cet-english-2016-revised-word-list,1,consolidate consolidation
consolidation,cet4,cet4,cet-english-2016-revised-word-list,1,consolidate consolidation
conspicuous,cet6,cet6,cet-english-2016-revised-word-list,1,★ conspicuous
conspiracy,cet6,cet6,cet-english-2016-revised-word-list,1,★ conspire conspiracy
conspire,cet6,cet6,cet-english-2016-revised-word-list,1,★ conspire conspiracy
constant,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,constant || constant**
constituency,cet6,cet6,cet-english-2016-revised-word-list,1,★ constituent constituency
constituent,cet6,cet6,cet-english-2016-revised-word-list,1,★ constituent constituency
constitute,cet4,cet4,cet-english-2016-revised-word-list,1,constitute
constitution,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,constitution constitutional || constitution**
constitutional,cet4,cet4,cet-english-2016-revised-word-list,1,constitution constitutional
constrain,cet6,cet6,cet-english-2016-revised-word-list,1,★ constrain constraint
constraint,cet6,cet6,cet-english-2016-revised-word-list,1,★ constrain constraint
construct,cet4,cet4,cet-english-2016-revised-word-list,1,construct construction
construction,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,construct construction || construction**
consul,cet6,cet6,cet-english-2016-revised-word-list,1,★ consulate consul
consulate,cet6,cet6,cet-english-2016-revised-word-list,1,★ consulate consul
consult,cet4,cet4,cet-english-2016-revised-word-list,1,consult consultation consultative consultant
consultant,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,consult consultation consultative consultant || consultant**
consultation,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,consult consultation consultative consultant || consultation**
consultative,cet4,cet4,cet-english-2016-revised-word-list,1,consult consultation consultative consultant
consume,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,consume consumer consumption || consume**
consumer,cet4,cet4,cet-english-2016-revised-word-list,1,consume consumer consumption
consumption,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,consume consumer consumption || consumption**
contact,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,contact || contact*
contagious,cet6,cet6,cet-english-2016-revised-word-list,1,★ contagious
contain,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,contain container containment || contain*
container,cet4,cet4,cet-english-2016-revised-word-list,1,contain container containment
containment,cet4,cet4,cet-english-2016-revised-word-list,1,contain container containment
contaminate,cet4,cet4,cet-english-2016-revised-word-list,1,contaminate contamination
contamination,cet4,cet4,cet-english-2016-revised-word-list,1,contaminate contamination
contemplate,cet6,cet6,cet-english-2016-revised-word-list,1,★ contemplate contemplation contemplative
contemplation,cet6,cet6,cet-english-2016-revised-word-list,1,★ contemplate contemplation contemplative
contemplative,cet6,cet6,cet-english-2016-revised-word-list,1,★ contemplate contemplation contemplative
contemporary,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,contemporary || contemporary**
contempt,cet4,cet4,cet-english-2016-revised-word-list,1,contempt contemptible
contemptible,cet4,cet4,cet-english-2016-revised-word-list,1,contempt contemptible
contend,cet4,cet4,cet-english-2016-revised-word-list,1,contend contention contentious
content,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,3,content* || content１ || content２ contented
contented,cet4,cet4,cet-english-2016-revised-word-list,1,content２ contented
contention,cet4,cet4,cet-english-2016-revised-word-list,1,contend contention contentious
contentious,cet4,cet4,cet-english-2016-revised-word-list,1,contend contention contentious
contest,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,contest contestant || contest**
contestant,cet4,cet4,cet-english-2016-revised-word-list,1,contest contestant
context,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,context contextual || context*
contextual,cet4,cet4,cet-english-2016-revised-word-list,1,context contextual
continent,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,continent continental || continent*
continental,cet4,cet4,cet-english-2016-revised-word-list,1,continent continental
contingent,cet6,cet6,cet-english-2016-revised-word-list,1,★ contingent
continual,cet4,cet4,cet-english-2016-revised-word-list,1,continue continuation continual continuous continuity
continuation,cet4,cet4,cet-english-2016-revised-word-list,1,continue continuation continual continuous continuity
continue,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,continue || continue continuation continual continuous continuity
continuity,cet4,cet4,cet-english-2016-revised-word-list,1,continue continuation continual continuous continuity
continuous,cet4,cet4,cet-english-2016-revised-word-list,1,continue continuation continual continuous continuity
contract,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,3,contract** || contract１ contractor || contract２ contraction
contraction,cet4,cet4,cet-english-2016-revised-word-list,1,contract２ contraction
contractor,cet4,cet4,cet-english-2016-revised-word-list,1,contract１ contractor
contradict,cet4,cet4,cet-english-2016-revised-word-list,1,contradict contradiction contradictory
contradiction,cet4,cet4,cet-english-2016-revised-word-list,1,contradict contradiction contradictory
contradictory,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,contradict contradiction contradictory || contradictory**
contrary,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,contrary || contrary**
contrast,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,contrast || contrast**
contribute,cet4,cet4,cet-english-2016-revised-word-list,1,contribute contribution contributor
contribution,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,contribute contribution contributor || contribution*
contributor,cet4,cet4,cet-english-2016-revised-word-list,1,contribute contribution contributor
contrive,cet6,cet6,cet-english-2016-revised-word-list,1,★ contrive
control,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,control
controversial,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,controversial** || controversy controversial
controversy,cet4,cet4,cet-english-2016-revised-word-list,1,controversy controversial
convene,cet6,cet6,cet-english-2016-revised-word-list,1,★ convene
convenience,cet4,cet4,cet-english-2016-revised-word-list,1,convenient convenience
convenient,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,convenient || convenient convenience
convention,cet4,cet4,cet-english-2016-revised-word-list,1,convention conventional
