word,variants,part_of_speech,theme_candidates,selection_route,relevance_score,selection_reason
counter,,a|n|r|v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3493；当代语料 2830；评分 9/9）
courtyard,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5755；当代语料 5825；评分 7/9）
cowboy,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 8757；当代语料 5048；评分 7/9）
criminal,,a|n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2063；当代语料 1953；评分 9/9）
crossing,,n,人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 4935；当代语料 6302；评分 8/9）
crossroads,,n,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 8633；当代语料 9096；评分 7/9）
crowded,,a,一般阅读,strong_independent_frequency,8,独立语料频率支持较强（BNC 5946；当代语料 4738；评分 8/9）
cube,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 7702；当代语料 5725；评分 7/9）
cubic,,a,一般阅读,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
currency,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2114；当代语料 3738；评分 9/9）
curriculum,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1694；当代语料 2077；评分 9/9）
cushion,,n|v,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 6092；当代语料 6893；评分 7/9）
customs,,n,人与社会,promoted_from_low_frequency_semantic_review,0,作为海关和关税的独立集合名词，不按 custom 的普通复数处理
cyclist,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6689；当代语料 9646；评分 7/9）
dam,,n|v,人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 6532；当代语料 4399；评分 8/9）
darkness,,n,人与自我|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2508；当代语料 2649；评分 9/9）
dash,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 5634；当代语料 6336；评分 7/9）
dawn,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 4374；当代语料 4004；评分 9/9）
daylight,,n,人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 5270；当代语料 5997；评分 7/9）
decoration,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 4554；当代语料 6136；评分 8/9）
deed,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 4742；当代语料 5766；评分 8/9）
deeply,,r,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2327；当代语料 2122；评分 9/9）
deliberately,,r,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2806；当代语料 4592；评分 9/9）
delight,,n|v,人与自我,strong_independent_frequency,9,独立语料频率支持较强（BNC 3393；当代语料 4890；评分 9/9）
delighted,,a,一般阅读,strong_independent_frequency,8,独立语料频率支持较强（BNC 2938；当代语料 6609；评分 8/9）
deposit,,n|v,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2384；当代语料 4692；评分 9/9）
determination,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2788；当代语料 3846；评分 9/9）
devotion,,n,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6937；当代语料 6466；评分 7/9）
dial,,n|v,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 8621；当代语料 6092；评分 7/9）
dictation,,n,人与社会,promoted_from_low_frequency_semantic_review,3,学校学习和语言教学场景中有明确价值
dilemma,,n,人与自我,strong_independent_frequency,9,独立语料频率支持较强（BNC 4551；当代语料 4118；评分 9/9）
dine,,v,人与自我,strong_independent_frequency,7,独立语料频率支持较强（BNC 7900；当代语料 7360；评分 7/9）
dioxide,,n,人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 4653；当代语料 5712；评分 8/9）
dip,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 4987；当代语料 4532；评分 9/9）
diploma,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6259；当代语料 8453；评分 7/9）
dirt,,a|n,人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 5597；当代语料 2737；评分 8/9）
disadvantage,,n|v,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 3518；当代语料 6291；评分 8/9）
disagree,,v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4677；当代语料 2679；评分 9/9）
disagreement,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5048；当代语料 5117；评分 7/9）
disappoint,,v,人与自我,strong_independent_frequency,7,独立语料频率支持较强（BNC 9539；当代语料 8204；评分 7/9）
disappointment,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3927；当代语料 4566；评分 9/9）
discourage,,v,人与自我|人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 5260；当代语料 4211；评分 8/9）
disgusting,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 6544；当代语料 8938；评分 7/9）
dislike,,n|v,人与自我,strong_independent_frequency,8,独立语料频率支持较强（BNC 4949；当代语料 6813；评分 8/9）
disobey,,v,人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
distinction,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1865；当代语料 2921；评分 9/9）
distribute,,v,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2662；当代语料 2944；评分 9/9）
disturbing,,a,一般阅读,strong_independent_frequency,8,独立语料频率支持较强（BNC 5532；当代语料 4827；评分 8/9）
divorce,,n|v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3853；当代语料 2978；评分 9/9）
doll,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 5101；当代语料 3823；评分 8/9）
dot,,n|v,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 4132；当代语料 4480；评分 9/9）
downward,,a|r,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 8499；当代语料 8257；评分 7/9）
drawback,,n,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 7710；当代语料 8563；评分 7/9）
drawing,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1892；当代语料 2521；评分 9/9）
drier,,n,人与社会|人与自然,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
drown,,v,人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 4492；当代语料 4927；评分 9/9）
drum,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 4171；当代语料 4116；评分 9/9）
drunk,,a|n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4187；当代语料 3701；评分 9/9）
due,,a|n|r,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1280；当代语料 1796；评分 9/9）
dull,,a|v,人与自我|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 3799；当代语料 5094；评分 8/9）
dusk,,n|v,人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 7861；当代语料 7212；评分 7/9）
dustbin,,n,人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
dusty,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 6602；当代语料 5298；评分 7/9）
easily,,r,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 1004；当代语料 1211；评分 9/9）
eastwards,,r,人与自然,promoted_from_low_frequency_semantic_review,2,方向和地理阅读中实用，后续与 eastward 建立词形关系
edition,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2537；当代语料 3155；评分 9/9）
educate,,v,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3663；当代语料 3033；评分 9/9）
eggplant,,n,人与自然,promoted_from_low_frequency_semantic_review,2,食物、植物及美式英语阅读中常见
elect,,a|n|v,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1794；当代语料 2265；评分 9/9）
electric,,a|n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2469；当代语料 2696；评分 9/9）
electrical,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 3190；当代语料 3789；评分 9/9）
embarrass,,v,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 9521；当代语料 7138；评分 7/9）
embassy,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 4389；当代语料 5731；评分 8/9）
empire,,n,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2251；当代语料 4218；评分 9/9）
encouragement,,n,人与自我|人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 4267；当代语料 6193；评分 8/9）
ending,,n,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 5246；当代语料 5188；评分 7/9）
endless,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 4095；当代语料 3722；评分 9/9）
enjoyable,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 6001；当代语料 9019；评分 7/9）
enlarge,,v,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 6348；当代语料 7530；评分 7/9）
enquiry,,n,人与自我|人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
entire,,a|n,人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 1876；当代语料 868；评分 9/9）
equality,,n,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 4197；当代语料 4590；评分 9/9）
equip,,v,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3643；当代语料 4145；评分 9/9）
evident,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2975；当代语料 3466；评分 9/9）
evolution,,n,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 3069；当代语料 2946；评分 9/9）
exact,,a|v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3270；当代语料 3341；评分 9/9）
excite,,v,人与自我|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 7567；当代语料 5328；评分 7/9）
existence,,n,人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 1454；当代语料 2213；评分 9/9）
explanation,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1492；当代语料 2054；评分 9/9）
explicit,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 3722；当代语料 4826；评分 9/9）
exploit,,n|v,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3034；当代语料 4374；评分 9/9）
explorer,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 9840；当代语料 7763；评分 7/9）
expression,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1139；当代语料 1533；评分 9/9）
extreme,,a|n,人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2528；当代语料 2519；评分 9/9）
eyesight,,n,人与自我,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
eyewitness,,n|v,人与自我|人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
facial,,a|n,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 8701；当代语料 5735；评分 7/9）
fade,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3506；当代语料 2882；评分 9/9）
fairly,,r,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 1413；当代语料 2157；评分 9/9）
fairness,,n,人与自我,strong_independent_frequency,7,独立语料频率支持较强（BNC 6946；当代语料 5954；评分 7/9）
fare,,n|v,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4481；当代语料 4776；评分 9/9）
fasten,,v,人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 7148；当代语料 7930；评分 7/9）
fax,,n|v,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5816；当代语料 5729；评分 7/9）
feast,,n|v,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5626；当代语料 5910；评分 7/9）
feather,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 4798；当代语料 4531；评分 9/9）
federal,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2320；当代语料 493；评分 9/9）
ferry,,n|v,人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 4590；当代语料 6492；评分 8/9）
fierce,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 3932；当代语料 4482；评分 9/9）
fighter,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4002；当代语料 3028；评分 9/9）
final,,a|n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 778；当代语料 887；评分 9/9）
fingernail,,n,人与自我,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
firefighter,,n,一般阅读,lexical_edge_semantic_review,,公共安全和职业主题中的现代中性称谓
fireplace,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6692；当代语料 5530；评分 7/9）
firewood,,n,人与自然,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
firework,,n,人与社会,promoted_from_low_frequency_semantic_review,3,节庆、文化和安全主题中常见
firmly,,r,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2206；当代语料 3818；评分 9/9）
flame,,n|v,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3195；当代语料 3199；评分 9/9）
flaming,,a|n,一般阅读,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
flashlight,,n,人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
flee,,v,人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3410；当代语料 2942；评分 9/9）
flesh,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3036；当代语料 3209；评分 9/9）
float,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3498；当代语料 3140；评分 9/9）
fluency,,n,人与自我|人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
fog,,n|v,人与自我|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 5413；当代语料 4913；评分 8/9）
following,,a|n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 748；当代语料 1471；评分 9/9）
fool,,n|v,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3660；当代语料 4030；评分 9/9）
foolish,,a,一般阅读,strong_independent_frequency,8,独立语料频率支持较强（BNC 4977；当代语料 5783；评分 8/9）
forbid,,v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4670；当代语料 4698；评分 9/9）
foreigner,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4934；当代语料 4887；评分 9/9）
foresee,,v,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6364；当代语料 7614；评分 7/9）
forgetful,,a,一般阅读,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
fortnight,,n,人与自然,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
fortunate,,a,一般阅读,strong_independent_frequency,8,独立语料频率支持较强（BNC 4680；当代语料 5300；评分 8/9）
fortune,,n,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2626；当代语料 2703；评分 9/9）
founding,,n,一般阅读,lexical_edge_semantic_review,,历史、机构和社会主题中的词汇化名词
fragile,,a,一般阅读,strong_independent_frequency,8,独立语料频率支持较强（BNC 5941；当代语料 4733；评分 8/9）
fragrant,,a,一般阅读,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
framework,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2177；当代语料 2968；评分 9/9）
freeway,,n,人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
freezing,,n,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 5949；当代语料 6369；评分 7/9）
frequent,,a|v,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3109；当代语料 3272；评分 9/9）
fried,,a,一般阅读,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
fright,,n|v,人与自我,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
frighten,,v,人与自我,strong_independent_frequency,7,独立语料频率支持较强（BNC 5047；当代语料 5537；评分 7/9）
funeral,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3009；当代语料 2885；评分 9/9）
fur,,n,人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 5029；当代语料 4700；评分 8/9）
furnished,,a,一般阅读,lexical_edge_semantic_review,,住房和生活场景中的常用形容词
gale,,n,人与自然,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
gallon,,n,人与自然,promoted_from_low_frequency_semantic_review,3,英美计量单位，说明文和生活阅读中需要识别
garage,,n|v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3113；当代语料 3208；评分 9/9）
gardening,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5625；当代语料 7049；评分 7/9）
garment,,n|v,人与自我|人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 4822；当代语料 6112；评分 8/9）
gay,,a|n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4231；当代语料 2056；评分 9/9）
gesture,,n|v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2883；当代语料 2969；评分 9/9）
glance,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2192；当代语料 2417；评分 9/9）
glare,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 5510；当代语料 6371；评分 7/9）
glory,,n|v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3797；当代语料 4113；评分 9/9）
god,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 492；当代语料 2809；评分 9/9）
golden,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2240；当代语料 1821；评分 9/9）
goldfish,,n,人与自然,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
goodness,,n,一般阅读,strong_independent_frequency,8,独立语料频率支持较强（BNC 4367；当代语料 5155；评分 8/9）
goose,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 6076；当代语料 5529；评分 7/9）
govern,,v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3050；当代语料 3711；评分 9/9）
gown,,n|v,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5811；当代语料 5262；评分 7/9）
graduation,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 15296；当代语料 4759；评分 7/9）
grandchild,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 19714；当代语料 4393；评分 7/9）
granny,,n,人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
graph,,n|v,人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
greeting,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6498；当代语料 6324；评分 7/9）
grill,,n|v,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 9117；当代语料 5395；评分 7/9）
grocer,,n,人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
growth,,n,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 770；当代语料 787；评分 9/9）
ha,,n,人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2731；当代语料 4798；评分 9/9）
haircut,,n,人与自我|人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
hammer,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 4955；当代语料 6231；评分 8/9）
handful,,n,人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 4262；当代语料 3109；评分 9/9）
handy,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 5980；当代语料 6380；评分 7/9）
happily,,r,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 3821；当代语料 4708；评分 9/9）
happiness,,n,人与自我,strong_independent_frequency,9,独立语料频率支持较强（BNC 3979；当代语料 3870；评分 9/9）
harbour,,n|v,人与自我|人与社会|人与自然,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
hardship,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6378；当代语料 6922；评分 7/9）
hardworking,,a,人与自我,promoted_from_low_frequency_semantic_review,2,人物品质描述中常见，OEWN确认当前拼写为独立词头
harmless,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 6985；当代语料 7615；评分 7/9）
hawk,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 9990；当代语料 7924；评分 7/9）
hay,,n|v,人与自我|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 6529；当代语料 7184；评分 7/9）
headline,,n|v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4488；当代语料 3293；评分 9/9）
headmaster,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 4787；当代语料 16726；评分 7/9）
heap,,n|v,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 5596；当代语料 7087；评分 7/9）
hearing,,a|n,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2480；当代语料 1711；评分 9/9）
heaven,,n,人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2649；当代语料 2626；评分 9/9）
heavily,,r,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2153；当代语料 2363；评分 9/9）
heel,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3535；当代语料 3056；评分 9/9）
helicopter,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4159；当代语料 3100；评分 9/9）
helmet,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 5642；当代语料 4303；评分 8/9）
heroine,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 8840；当代语料 8342；评分 7/9）
hey,,,一般阅读,lexical_edge_semantic_review,,高频口语和对话阅读中的常用感叹词
hibernate,,v,人与自然,promoted_from_low_frequency_semantic_review,3,动物、生物与科技休眠语境均有价值
hibernation,,n,人与社会,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
highway,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4470；当代语料 2583；评分 9/9）
hillside,,n,人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 6497；当代语料 6756；评分 7/9）
hilly,,a,一般阅读,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
hive,,n|v,人与社会|人与自然,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
holy,,a|n,人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2701；当代语料 2375；评分 9/9）
homeland,,n,人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 8870；当代语料 4149；评分 8/9）
hook,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 4337；当代语料 3791；评分 9/9）
hopeful,,a|n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6877；当代语料 5116；评分 7/9）
hopeless,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 6390；当代语料 7926；评分 7/9）
housewife,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5741；当代语料 8592；评分 7/9）
howl,,n|v,人与自我|人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
humour,,n|v,人与自我|人与社会,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
hunger,,n|v,人与自我,strong_independent_frequency,8,独立语料频率支持较强（BNC 5267；当代语料 4584；评分 8/9）
hunter,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 5802；当代语料 3030；评分 8/9）
identification,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3230；当代语料 3289；评分 9/9）
immediate,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 1542；当代语料 2180；评分 9/9）
immigration,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 5448；当代语料 2431；评分 8/9）
importance,,n,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 1025；当代语料 1573；评分 9/9）
incorrect,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 7053；当代语料 7280；评分 7/9）
independence,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2010；当代语料 2291；评分 9/9）
inform,,v,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 1726；当代语料 2177；评分 9/9）
injure,,v,人与自我|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3032；当代语料 3721；评分 9/9）
ink,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 6004；当代语料 5193；评分 7/9）
inland,,a|r,一般阅读,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
inn,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 3852；当代语料 6591；评分 8/9）
insert,,n|v,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3796；当代语料 4301；评分 9/9）
inspect,,v,人与自我|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 4286；当代语料 5031；评分 8/9）
instruct,,v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3820；当代语料 4243；评分 9/9）
insure,,v,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5378；当代语料 6180；评分 7/9）
intelligence,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2444；当代语料 1417；评分 9/9）
interpreter,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 7208；当代语料 5628；评分 7/9）
interval,,n,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2689；当代语料 4646；评分 9/9）
inventor,,n,人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
invitation,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3177；当代语料 4072；评分 9/9）
irrigate,,v,人与自我|人与自然,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
irrigation,,n,人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
jar,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 5688；当代语料 4262；评分 8/9）
