word,relevance_score,relevance_recommendation,bnc_rank,contemporary_rank,oewn_pos,oewn_lexicographer_classes,theme_candidates,theme_assignment_status,independent_inclusion_reason,final_status
deposit,9,frequency_supported_extension,2384,4692,n|v,noun.act|noun.artifact|noun.communication|noun.object|noun.phenomenon|noun.possession|noun.process|verb.contact|verb.possession,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 2384；当代语料 4692；评分 9/9）,priority_candidate_needs_semantic_review
determination,9,frequency_supported_extension,2788,3846,n,noun.act|noun.attribute|noun.cognition,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2788；当代语料 3846；评分 9/9）,priority_candidate_needs_semantic_review
devotion,7,frequency_supported_extension,6937,6466,n,noun.act|noun.feeling,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 6937；当代语料 6466；评分 7/9）,priority_candidate_needs_semantic_review
dial,7,frequency_supported_extension,8621,6092,n|v,noun.artifact|verb.cognition|verb.communication,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 8621；当代语料 6092；评分 7/9）,priority_candidate_needs_semantic_review
dictation,3,hold_without_more_evidence,20641,21756,n,noun.communication,人与社会,machine_candidate_needs_review,独立语料频率支持不足（BNC 20641；当代语料 21756；评分 3/9）,hold
dilemma,9,frequency_supported_extension,4551,4118,n,noun.cognition,人与自我,machine_candidate_needs_review,独立语料频率支持较强（BNC 4551；当代语料 4118；评分 9/9）,priority_candidate_needs_semantic_review
dine,7,frequency_supported_extension,7900,7360,v,verb.consumption,人与自我,machine_candidate_needs_review,独立语料频率支持较强（BNC 7900；当代语料 7360；评分 7/9）,priority_candidate_needs_semantic_review
dioxide,8,frequency_supported_extension,4653,5712,n,noun.substance,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 4653；当代语料 5712；评分 8/9）,priority_candidate_needs_semantic_review
dip,9,frequency_supported_extension,4987,4532,n|v,noun.act|noun.artifact|noun.attribute|noun.event|noun.food|noun.person|noun.shape|verb.change|verb.consumption|verb.contact|verb.creation|verb.motion|verb.perception|verb.possession,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 4987；当代语料 4532；评分 9/9）,priority_candidate_needs_semantic_review
diploma,7,frequency_supported_extension,6259,8453,n,noun.communication,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 6259；当代语料 8453；评分 7/9）,priority_candidate_needs_semantic_review
dirt,8,frequency_supported_extension,5597,2737,a|n,adj.all|noun.communication|noun.state|noun.substance,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 5597；当代语料 2737；评分 8/9）,priority_candidate_needs_semantic_review
disadvantage,8,frequency_supported_extension,3518,6291,n|v,noun.attribute|verb.social,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3518；当代语料 6291；评分 8/9）,priority_candidate_needs_semantic_review
disagree,9,frequency_supported_extension,4677,2679,v,verb.communication|verb.stative,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4677；当代语料 2679；评分 9/9）,priority_candidate_needs_semantic_review
disagreement,7,frequency_supported_extension,5048,5117,n,noun.attribute|noun.communication|noun.state,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5048；当代语料 5117；评分 7/9）,priority_candidate_needs_semantic_review
disappoint,7,frequency_supported_extension,9539,8204,v,verb.emotion,人与自我,machine_candidate_needs_review,独立语料频率支持较强（BNC 9539；当代语料 8204；评分 7/9）,priority_candidate_needs_semantic_review
disappointment,9,frequency_supported_extension,3927,4566,n,noun.act|noun.feeling,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3927；当代语料 4566；评分 9/9）,priority_candidate_needs_semantic_review
discourage,8,frequency_supported_extension,5260,4211,v,verb.communication|verb.emotion,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5260；当代语料 4211；评分 8/9）,priority_candidate_needs_semantic_review
disgusting,7,frequency_supported_extension,6544,8938,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 6544；当代语料 8938；评分 7/9）,priority_candidate_needs_semantic_review
dislike,8,frequency_supported_extension,4949,6813,n|v,noun.cognition|noun.feeling|verb.emotion,人与自我,machine_candidate_needs_review,独立语料频率支持较强（BNC 4949；当代语料 6813；评分 8/9）,priority_candidate_needs_semantic_review
disobey,5,secondary_relevance_review,18583,15476,v,verb.social,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 18583；当代语料 15476；评分 5/9）,pending_theme_review
distinction,9,frequency_supported_extension,1865,2921,n,noun.attribute|noun.cognition|noun.communication|noun.state,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 1865；当代语料 2921；评分 9/9）,priority_candidate_needs_semantic_review
distribute,9,frequency_supported_extension,2662,2944,v,verb.communication|verb.contact|verb.motion|verb.possession|verb.social|verb.stative,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 2662；当代语料 2944；评分 9/9）,priority_candidate_needs_semantic_review
disturbing,8,frequency_supported_extension,5532,4827,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 5532；当代语料 4827；评分 8/9）,priority_candidate_needs_semantic_review
divorce,9,frequency_supported_extension,3853,2978,n|v,noun.act|verb.social,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3853；当代语料 2978；评分 9/9）,priority_candidate_needs_semantic_review
doll,8,frequency_supported_extension,5101,3823,n,noun.artifact|noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5101；当代语料 3823；评分 8/9）,priority_candidate_needs_semantic_review
dot,9,frequency_supported_extension,4132,4480,n|v,noun.artifact|noun.communication|noun.shape|verb.change|verb.communication|verb.contact|verb.stative,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 4132；当代语料 4480；评分 9/9）,priority_candidate_needs_semantic_review
downward,7,frequency_supported_extension,8499,8257,a|r,adj.all|adv.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 8499；当代语料 8257；评分 7/9）,priority_candidate_needs_semantic_review
drawback,7,frequency_supported_extension,7710,8563,n,noun.attribute,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 7710；当代语料 8563；评分 7/9）,priority_candidate_needs_semantic_review
drawing,9,frequency_supported_extension,1892,2521,n,noun.act|noun.artifact|noun.communication,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 1892；当代语料 2521；评分 9/9）,priority_candidate_needs_semantic_review
drier,4,secondary_relevance_review,19790,22822,n,noun.artifact|noun.substance,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持中等（BNC 19790；当代语料 22822；评分 4/9）,pending_theme_review
drown,9,frequency_supported_extension,4492,4927,v,verb.change|verb.contact|verb.motion|verb.stative,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 4492；当代语料 4927；评分 9/9）,priority_candidate_needs_semantic_review
drum,9,frequency_supported_extension,4171,4116,n|v,noun.animal|noun.artifact|noun.event|noun.shape|verb.cognition|verb.creation|verb.perception,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 4171；当代语料 4116；评分 9/9）,priority_candidate_needs_semantic_review
drunk,9,frequency_supported_extension,4187,3701,a|n,adj.all|noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4187；当代语料 3701；评分 9/9）,priority_candidate_needs_semantic_review
due,9,frequency_supported_extension,1280,1796,a|n|r,adj.all|adv.all|noun.attribute|noun.possession,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 1280；当代语料 1796；评分 9/9）,priority_candidate_needs_semantic_review
dull,8,frequency_supported_extension,3799,5094,a|v,adj.all|verb.change|verb.contact|verb.perception,人与自我|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3799；当代语料 5094；评分 8/9）,priority_candidate_needs_semantic_review
dusk,7,frequency_supported_extension,7861,7212,n|v,noun.time|verb.change,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 7861；当代语料 7212；评分 7/9）,priority_candidate_needs_semantic_review
dustbin,5,secondary_relevance_review,9594,28258,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 9594；当代语料 28258；评分 5/9）,pending_theme_review
dusty,7,frequency_supported_extension,6602,5298,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 6602；当代语料 5298；评分 7/9）,priority_candidate_needs_semantic_review
easily,9,frequency_supported_extension,1004,1211,r,adv.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 1004；当代语料 1211；评分 9/9）,priority_candidate_needs_semantic_review
eastwards,2,hold_without_more_evidence,14945,,r,adv.all,一般阅读,machine_candidate_needs_review,独立语料频率支持不足（BNC 14945；当代语料 无有效排名；评分 2/9）,hold
edition,9,frequency_supported_extension,2537,3155,n,noun.cognition|noun.communication|noun.group,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2537；当代语料 3155；评分 9/9）,priority_candidate_needs_semantic_review
educate,9,frequency_supported_extension,3663,3033,v,verb.cognition|verb.social,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3663；当代语料 3033；评分 9/9）,priority_candidate_needs_semantic_review
eggplant,2,hold_without_more_evidence,,10618,n,noun.food|noun.plant,人与自我|人与自然,machine_candidate_needs_review,独立语料频率支持不足（BNC 无有效排名；当代语料 10618；评分 2/9）,hold
elect,9,frequency_supported_extension,1794,2265,a|n|v,adj.all|noun.group|verb.cognition|verb.social,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 1794；当代语料 2265；评分 9/9）,priority_candidate_needs_semantic_review
electric,9,frequency_supported_extension,2469,2696,a|n,adj.all|adj.pert|noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2469；当代语料 2696；评分 9/9）,priority_candidate_needs_semantic_review
electrical,9,frequency_supported_extension,3190,3789,a,adj.pert,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 3190；当代语料 3789；评分 9/9）,priority_candidate_needs_semantic_review
embarrass,7,frequency_supported_extension,9521,7138,v,verb.emotion|verb.social,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 9521；当代语料 7138；评分 7/9）,priority_candidate_needs_semantic_review
embassy,8,frequency_supported_extension,4389,5731,n,noun.artifact|noun.group,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4389；当代语料 5731；评分 8/9）,priority_candidate_needs_semantic_review
empire,9,frequency_supported_extension,2251,4218,n,noun.group|noun.location,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 2251；当代语料 4218；评分 9/9）,priority_candidate_needs_semantic_review
encouragement,8,frequency_supported_extension,4267,6193,n,noun.act|noun.communication|noun.feeling,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4267；当代语料 6193；评分 8/9）,priority_candidate_needs_semantic_review
ending,7,frequency_supported_extension,5246,5188,n,noun.act|noun.communication|noun.event|noun.time,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 5246；当代语料 5188；评分 7/9）,priority_candidate_needs_semantic_review
endless,9,frequency_supported_extension,4095,3722,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 4095；当代语料 3722；评分 9/9）,priority_candidate_needs_semantic_review
enjoyable,7,frequency_supported_extension,6001,9019,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 6001；当代语料 9019；评分 7/9）,priority_candidate_needs_semantic_review
enlarge,7,frequency_supported_extension,6348,7530,v,verb.change|verb.communication,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 6348；当代语料 7530；评分 7/9）,priority_candidate_needs_semantic_review
enquiry,6,secondary_relevance_review,2472,24159,n,noun.act|noun.cognition|noun.communication,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 2472；当代语料 24159；评分 6/9）,pending_theme_review
entire,9,frequency_supported_extension,1876,868,a|n,adj.all|noun.animal,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 1876；当代语料 868；评分 9/9）,priority_candidate_needs_semantic_review
equality,9,frequency_supported_extension,4197,4590,n,noun.attribute|noun.state,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 4197；当代语料 4590；评分 9/9）,priority_candidate_needs_semantic_review
equip,9,frequency_supported_extension,3643,4145,v,verb.change|verb.possession,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3643；当代语料 4145；评分 9/9）,priority_candidate_needs_semantic_review
evident,9,frequency_supported_extension,2975,3466,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 2975；当代语料 3466；评分 9/9）,priority_candidate_needs_semantic_review
evolution,9,frequency_supported_extension,3069,2946,n,noun.process,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 3069；当代语料 2946；评分 9/9）,priority_candidate_needs_semantic_review
exact,9,frequency_supported_extension,3270,3341,a|v,adj.all|verb.communication,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3270；当代语料 3341；评分 9/9）,priority_candidate_needs_semantic_review
excite,7,frequency_supported_extension,7567,5328,v,verb.change|verb.emotion|verb.perception,人与自我|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 7567；当代语料 5328；评分 7/9）,priority_candidate_needs_semantic_review
existence,9,frequency_supported_extension,1454,2213,n,noun.object|noun.state,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 1454；当代语料 2213；评分 9/9）,priority_candidate_needs_semantic_review
explanation,9,frequency_supported_extension,1492,2054,n,noun.cognition|noun.communication,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 1492；当代语料 2054；评分 9/9）,priority_candidate_needs_semantic_review
explicit,9,frequency_supported_extension,3722,4826,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 3722；当代语料 4826；评分 9/9）,priority_candidate_needs_semantic_review
exploit,9,frequency_supported_extension,3034,4374,n|v,noun.act|verb.consumption|verb.social,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3034；当代语料 4374；评分 9/9）,priority_candidate_needs_semantic_review
explorer,7,frequency_supported_extension,9840,7763,n,noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 9840；当代语料 7763；评分 7/9）,priority_candidate_needs_semantic_review
expression,9,frequency_supported_extension,1139,1533,n,noun.act|noun.attribute|noun.communication|noun.process,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 1139；当代语料 1533；评分 9/9）,priority_candidate_needs_semantic_review
extreme,9,frequency_supported_extension,2528,2519,a|n,adj.all|noun.attribute|noun.location,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 2528；当代语料 2519；评分 9/9）,priority_candidate_needs_semantic_review
eyesight,5,secondary_relevance_review,13749,14627,n,noun.cognition,人与自我,machine_candidate_needs_review,独立语料频率支持中等（BNC 13749；当代语料 14627；评分 5/9）,pending_theme_review
eyewitness,6,secondary_relevance_review,19899,8633,n|v,noun.person|verb.perception,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 19899；当代语料 8633；评分 6/9）,pending_theme_review
f,4,secondary_relevance_review,4238,,n,noun.communication,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 4238；当代语料 无有效排名；评分 4/9）,pending_theme_review
facial,7,frequency_supported_extension,8701,5735,a|n,adj.pert|noun.act|noun.body,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 8701；当代语料 5735；评分 7/9）,priority_candidate_needs_semantic_review
fade,9,frequency_supported_extension,3506,2882,n|v,noun.act|verb.body|verb.change,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3506；当代语料 2882；评分 9/9）,priority_candidate_needs_semantic_review
fairly,9,frequency_supported_extension,1413,2157,r,adv.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 1413；当代语料 2157；评分 9/9）,priority_candidate_needs_semantic_review
fairness,7,frequency_supported_extension,6946,5954,n,noun.attribute|noun.cognition,人与自我,machine_candidate_needs_review,独立语料频率支持较强（BNC 6946；当代语料 5954；评分 7/9）,priority_candidate_needs_semantic_review
fare,9,frequency_supported_extension,4481,4776,n|v,noun.cognition|noun.food|noun.person|noun.possession|verb.consumption|verb.stative,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4481；当代语料 4776；评分 9/9）,priority_candidate_needs_semantic_review
fasten,7,frequency_supported_extension,7148,7930,v,verb.change|verb.contact,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 7148；当代语料 7930；评分 7/9）,priority_candidate_needs_semantic_review
fax,7,frequency_supported_extension,5816,5729,n|v,noun.artifact|verb.communication,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5816；当代语料 5729；评分 7/9）,priority_candidate_needs_semantic_review
feast,7,frequency_supported_extension,5626,5910,n|v,noun.event|noun.food|noun.group|verb.consumption,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5626；当代语料 5910；评分 7/9）,priority_candidate_needs_semantic_review
feather,9,frequency_supported_extension,4798,4531,n|v,noun.act|noun.animal|verb.body|verb.competition|verb.contact,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 4798；当代语料 4531；评分 9/9）,priority_candidate_needs_semantic_review
federal,9,frequency_supported_extension,2320,493,a,adj.all|adj.pert,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 2320；当代语料 493；评分 9/9）,priority_candidate_needs_semantic_review
ferry,8,frequency_supported_extension,4590,6492,n|v,noun.act|noun.artifact|verb.motion,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 4590；当代语料 6492；评分 8/9）,priority_candidate_needs_semantic_review
fierce,9,frequency_supported_extension,3932,4482,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 3932；当代语料 4482；评分 9/9）,priority_candidate_needs_semantic_review
fighter,9,frequency_supported_extension,4002,3028,n,noun.artifact|noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4002；当代语料 3028；评分 9/9）,priority_candidate_needs_semantic_review
final,9,frequency_supported_extension,778,887,a|n,adj.all|noun.communication|noun.event,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 778；当代语料 887；评分 9/9）,priority_candidate_needs_semantic_review
fingernail,6,secondary_relevance_review,12348,7769,n,noun.body,人与自我,machine_candidate_needs_review,独立语料频率支持中等（BNC 12348；当代语料 7769；评分 6/9）,pending_theme_review
fireplace,7,frequency_supported_extension,6692,5530,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 6692；当代语料 5530；评分 7/9）,priority_candidate_needs_semantic_review
firewood,5,secondary_relevance_review,15317,12444,n,noun.substance,人与自然,machine_candidate_needs_review,独立语料频率支持中等（BNC 15317；当代语料 12444；评分 5/9）,pending_theme_review
firework,3,hold_without_more_evidence,8853,,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持不足（BNC 8853；当代语料 无有效排名；评分 3/9）,hold
firmly,9,frequency_supported_extension,2206,3818,r,adv.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 2206；当代语料 3818；评分 9/9）,priority_candidate_needs_semantic_review
flame,9,frequency_supported_extension,3195,3199,n|v,noun.process|verb.communication|verb.weather,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3195；当代语料 3199；评分 9/9）,priority_candidate_needs_semantic_review
flaming,5,secondary_relevance_review,15457,12654,a|n,adj.all|noun.process,一般阅读,machine_candidate_needs_review,独立语料频率支持中等（BNC 15457；当代语料 12654；评分 5/9）,pending_theme_review
flashlight,5,secondary_relevance_review,25749,6373,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 25749；当代语料 6373；评分 5/9）,pending_theme_review
flee,9,frequency_supported_extension,3410,2942,v,verb.motion,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3410；当代语料 2942；评分 9/9）,priority_candidate_needs_semantic_review
flesh,9,frequency_supported_extension,3036,3209,n|v,noun.body|noun.plant|verb.possession,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3036；当代语料 3209；评分 9/9）,priority_candidate_needs_semantic_review
float,9,frequency_supported_extension,3498,3140,n|v,noun.animal|noun.artifact|noun.food|noun.possession|noun.time|verb.change|verb.cognition|verb.contact|verb.motion|verb.social,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3498；当代语料 3140；评分 9/9）,priority_candidate_needs_semantic_review
fluency,5,secondary_relevance_review,14342,13181,n,noun.attribute|noun.cognition|noun.communication,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 14342；当代语料 13181；评分 5/9）,pending_theme_review
fog,8,frequency_supported_extension,5413,4913,n|v,noun.cognition|noun.phenomenon|noun.state|verb.perception,人与自我|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 5413；当代语料 4913；评分 8/9）,priority_candidate_needs_semantic_review
following,9,frequency_supported_extension,748,1471,a|n,adj.all|noun.act|noun.group,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 748；当代语料 1471；评分 9/9）,priority_candidate_needs_semantic_review
fool,9,frequency_supported_extension,3660,4030,n|v,noun.person|verb.communication|verb.consumption|verb.social,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3660；当代语料 4030；评分 9/9）,priority_candidate_needs_semantic_review
foolish,8,frequency_supported_extension,4977,5783,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 4977；当代语料 5783；评分 8/9）,priority_candidate_needs_semantic_review
forbid,9,frequency_supported_extension,4670,4698,v,verb.communication|verb.social,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4670；当代语料 4698；评分 9/9）,priority_candidate_needs_semantic_review
foreigner,9,frequency_supported_extension,4934,4887,n,noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4934；当代语料 4887；评分 9/9）,priority_candidate_needs_semantic_review
foresee,7,frequency_supported_extension,6364,7614,v,verb.cognition|verb.creation|verb.social,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 6364；当代语料 7614；评分 7/9）,priority_candidate_needs_semantic_review
forgetful,4,secondary_relevance_review,19606,23938,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持中等（BNC 19606；当代语料 23938；评分 4/9）,pending_theme_review
fortnight,6,secondary_relevance_review,4290,22633,n,noun.time,人与自然,machine_candidate_needs_review,独立语料频率支持中等（BNC 4290；当代语料 22633；评分 6/9）,pending_theme_review
fortunate,8,frequency_supported_extension,4680,5300,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 4680；当代语料 5300；评分 8/9）,priority_candidate_needs_semantic_review
fortune,9,frequency_supported_extension,2626,2703,n,noun.phenomenon|noun.possession|noun.state,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 2626；当代语料 2703；评分 9/9）,priority_candidate_needs_semantic_review
fragile,8,frequency_supported_extension,5941,4733,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 5941；当代语料 4733；评分 8/9）,priority_candidate_needs_semantic_review
fragrant,6,secondary_relevance_review,12331,9055,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持中等（BNC 12331；当代语料 9055；评分 6/9）,pending_theme_review
framework,9,frequency_supported_extension,2177,2968,n,noun.artifact|noun.attribute|noun.cognition,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2177；当代语料 2968；评分 9/9）,priority_candidate_needs_semantic_review
franc,3,hold_without_more_evidence,7261,,n,noun.quantity,人与自然,machine_candidate_needs_review,独立语料频率支持不足（BNC 7261；当代语料 无有效排名；评分 3/9）,hold
freeway,5,secondary_relevance_review,23892,6142,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 23892；当代语料 6142；评分 5/9）,pending_theme_review
freezing,7,frequency_supported_extension,5949,6369,n,noun.process,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 5949；当代语料 6369；评分 7/9）,priority_candidate_needs_semantic_review
frequent,9,frequency_supported_extension,3109,3272,a|v,adj.all|verb.motion|verb.social,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3109；当代语料 3272；评分 9/9）,priority_candidate_needs_semantic_review
fried,6,secondary_relevance_review,10093,5612,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持中等（BNC 10093；当代语料 5612；评分 6/9）,pending_theme_review
fright,5,secondary_relevance_review,10016,12606,n|v,noun.feeling|verb.emotion,人与自我,machine_candidate_needs_review,独立语料频率支持中等（BNC 10016；当代语料 12606；评分 5/9）,pending_theme_review
frighten,7,frequency_supported_extension,5047,5537,v,verb.emotion,人与自我,machine_candidate_needs_review,独立语料频率支持较强（BNC 5047；当代语料 5537；评分 7/9）,priority_candidate_needs_semantic_review
funeral,9,frequency_supported_extension,3009,2885,n,noun.event,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3009；当代语料 2885；评分 9/9）,priority_candidate_needs_semantic_review
fur,8,frequency_supported_extension,5029,4700,n,noun.animal|noun.artifact|noun.substance,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 5029；当代语料 4700；评分 8/9）,priority_candidate_needs_semantic_review
gale,6,secondary_relevance_review,8689,12845,n,noun.phenomenon,人与自然,machine_candidate_needs_review,独立语料频率支持中等（BNC 8689；当代语料 12845；评分 6/9）,pending_theme_review
gallon,3,hold_without_more_evidence,6013,,n,noun.quantity,人与自然,machine_candidate_needs_review,独立语料频率支持不足（BNC 6013；当代语料 无有效排名；评分 3/9）,hold
garage,9,frequency_supported_extension,3113,3208,n|v,noun.artifact|verb.possession,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3113；当代语料 3208；评分 9/9）,priority_candidate_needs_semantic_review
gardening,7,frequency_supported_extension,5625,7049,n,noun.act,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5625；当代语料 7049；评分 7/9）,priority_candidate_needs_semantic_review
garment,8,frequency_supported_extension,4822,6112,n|v,noun.artifact|verb.body,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4822；当代语料 6112；评分 8/9）,priority_candidate_needs_semantic_review
gay,9,frequency_supported_extension,4231,2056,a|n,adj.all|noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4231；当代语料 2056；评分 9/9）,priority_candidate_needs_semantic_review
gesture,9,frequency_supported_extension,2883,2969,n|v,noun.act|noun.communication|verb.communication,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2883；当代语料 2969；评分 9/9）,priority_candidate_needs_semantic_review
glance,9,frequency_supported_extension,2192,2417,n|v,noun.act|verb.motion|verb.perception,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 2192；当代语料 2417；评分 9/9）,priority_candidate_needs_semantic_review
glare,7,frequency_supported_extension,5510,6371,n|v,noun.act|noun.attribute|noun.state|verb.body|verb.perception|verb.weather,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 5510；当代语料 6371；评分 7/9）,priority_candidate_needs_semantic_review
glasshouse,3,hold_without_more_evidence,22763,39029,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持不足（BNC 22763；当代语料 39029；评分 3/9）,hold
