sequence,record_id,word,variants,dataset_layer,curriculum_level,parts_of_speech,definitions_zh,selected_source_sense_ids,oewn_match_status,definition_method,qa_status,qa_notes
1108,release-word-1108,foggy,,curriculum,high_school_selective_compulsory,adjective,adjective：有雾的；模糊不清的；迷糊的,foggy%5:00:00:cloudy:00 | foggy%5:00:00:indistinct:00 | foggy%5:00:00:opaque:00 | foggy%5:00:00:lethargic:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1109,release-word-1109,fold,,curriculum,high_school_selective_compulsory,verb; noun,verb：折叠；合拢；对折 | noun：褶；折痕；折叠部分,fold%1:25:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,常用动词义依据基础英语用法补充；排除宗教团体等低相关义项。
1110,release-word-1110,folk,,curriculum,high_school_selective_compulsory,noun; adjective,noun：人们；某一群体；民众 | adjective：民间的；民俗的,folk%1:14:00:: | folk%1:14:01:: | folk%1:14:02:: | folk%1:10:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,形容词义依据民间文化语义概括。
1111,release-word-1111,follow,,curriculum,compulsory_education,verb,verb：跟随；接着发生；遵循；听从；理解,follow%2:38:00:: | follow%2:42:00:: | follow%2:42:05:: | follow%2:38:01:: | follow%2:41:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,“理解”是常见基础义，依据整体词条用法补充。
1112,release-word-1112,fond,,curriculum,high_school_selective_compulsory,adjective,adjective：喜爱的；深情的；溺爱的,fond%5:00:00:inclined:02 | fond%5:00:02:loving:00 | fond%5:00:01:loving:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1113,release-word-1113,food,,curriculum,compulsory_education,noun,noun：食物；食品；精神食粮,food%1:03:00:: | food%1:09:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1114,release-word-1114,foot,feet,curriculum,compulsory_education,noun,noun：脚；足；英尺；底部,foot%1:08:01:: | foot%1:23:00:: | foot%1:15:00:: | foot%1:05:01:: | foot%1:06:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1115,release-word-1115,football,,curriculum,compulsory_education,noun,noun：足球运动；足球,football%1:04:00:: | football%1:06:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1116,release-word-1116,for,,curriculum,compulsory_education,preposition; conjunction,preposition：为了；给；对于；达；因为 | conjunction：因为,,no_oewn_match,AI_drafted_from_open_source_semantics,automated_checks_passed,OEWN无候选释义；依据基础英语功能词用法原创整理。
1117,release-word-1117,force,,curriculum,compulsory_education,noun; verb,noun：力量；力；影响力；武装力量 | verb：强迫；迫使；用力推动,force%1:07:01:: | force%1:19:00:: | force%1:07:00:: | force%1:14:00:: | force%1:14:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,动词义依据名词核心语义和基础英语用法补充。
1118,release-word-1118,forecast,,curriculum,high_school_selective_compulsory,noun; verb,noun：预测；预报 | verb：预测；预报,forecast%1:10:00:: | forecast%2:32:00:: | forecast%2:31:00:: | forecast%2:32:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1119,release-word-1119,forehead,,curriculum,high_school_selective_compulsory,noun,noun：额头；前额,forehead%1:08:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,排除颅骨专业义项。
1120,release-word-1120,foreign,,curriculum,compulsory_education,adjective,adjective：外国的；国外的；外来的；不相干的,foreign%3:00:02:: | foreign%3:00:01:: | foreign%5:00:00:extrinsic:00 | foreign%5:00:00:adulterating:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1121,release-word-1121,forest,,curriculum,compulsory_education,noun; verb,noun：森林；林区 | verb：在……造林,forest%1:14:00:: | forest%1:17:00:: | forest%2:35:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1122,release-word-1122,forever,,curriculum,high_school_selective_compulsory,adverb,adverb：永远；长久地；总是,forever%4:02:00:: | forever%4:02:02:: | forever%4:02:03::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1123,release-word-1123,forget,,curriculum,compulsory_education,verb,verb：忘记；忘了做；遗忘；落下,forget%2:31:01:: | forget%2:31:00:: | forget%2:31:03:: | forget%2:31:02::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1124,release-word-1124,forgive,,curriculum,high_school_selective_compulsory,verb,verb：原谅；宽恕；免除债务,forgive%2:32:00:: | forgive%2:41:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1125,release-word-1125,fork,,curriculum,compulsory_education,noun; verb,noun：餐叉；叉状物；分岔处 | verb：分叉；用叉叉起,fork%1:06:00:: | fork%1:04:00:: | fork%1:25:00:: | fork%1:06:02::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,动词义依据名词核心语义和基础英语用法补充；排除身体部位义项。
1126,release-word-1126,form,,curriculum,compulsory_education,noun; verb,noun：形式；形状；种类；表格 | verb：形成；组成；填写,form%1:10:00:: | form%1:09:01:: | form%1:09:00:: | form%1:07:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,“表格”及动词义依据基础英语常用义补充。
1127,release-word-1127,formal,,curriculum,high_school_compulsory,adjective,adjective：正式的；正规的；庄重的；形式上的,formal%3:00:01:: | formal%5:00:00:official:00 | formal%3:00:02:: | formal%5:00:00:logical:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1128,release-word-1128,format,,curriculum,high_school_selective_compulsory,noun; verb,noun：格式；版式 | verb：安排格式；格式化,format%1:10:00:: | format%1:07:00:: | format%2:36:00:: | format%2:31:10:: | format%2:30:09::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1129,release-word-1129,former,,curriculum,high_school_compulsory,adjective; pronoun,adjective：以前的；前任的 | pronoun：前者,former%3:00:00:: | former%5:00:01:past:00 | former%5:00:02:past:00 | former%5:00:00:past:00 | former%1:24:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1130,release-word-1130,fortunately,,curriculum,high_school_compulsory,adverb,adverb：幸运地；幸亏,fortunately%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1131,release-word-1131,forty,,curriculum,compulsory_education,numeral,numeral：四十,forty%5:00:00:cardinal:00 | forty%1:23:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1132,release-word-1132,forward,,curriculum,high_school_compulsory,adverb; adjective; verb,adverb：向前；往前 | adjective：向前的；前部的；进步的 | verb：转交；促进,forward%3:00:01:: | forward%5:00:00:progressive:01 | forward%1:18:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,动词义依据基础英语常用义补充。
1133,release-word-1133,found,,curriculum,high_school_selective_compulsory,verb,verb：创立；建立；把……建立在……基础上,found%2:41:00:: | found%2:36:00:: | found%2:31:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,此处为found原形；另可作find的过去式和过去分词。
1134,release-word-1134,foundation,,curriculum,high_school_selective_compulsory,noun,noun：基础；地基；基金会；基本原理,foundation%1:24:00:: | foundation%1:14:00:: | foundation%1:06:00:: | foundation%1:09:01:: | foundation%1:09:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1135,release-word-1135,fountain,,curriculum,high_school_selective_compulsory,noun,noun：喷泉；泉水；喷水装置,fountain%1:06:02:: | fountain%1:17:00:: | fountain%1:06:01:: | fountain%1:06:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1136,release-word-1136,four,,curriculum,compulsory_education,numeral,numeral：四,four%5:00:00:cardinal:00 | four%1:23:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1137,release-word-1137,fourteen,,curriculum,compulsory_education,numeral,numeral：十四,fourteen%5:00:00:cardinal:00 | fourteen%1:23:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1138,release-word-1138,fourth,,curriculum,compulsory_education,ordinal; noun; adverb,ordinal：第四 | noun：四分之一；第四个 | adverb：第四地；第四点,fourth%5:00:00:ordinal:00 | fourth%1:24:00:: | fourth%1:23:00:: | fourth%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1139,release-word-1139,fox,,curriculum,high_school_selective_compulsory,noun; verb,noun：狐狸 | verb：欺骗；使困惑,fox%1:05:00:: | fox%2:41:00:: | fox%2:31:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1140,release-word-1140,France,,curriculum,compulsory_education,proper_noun,proper_noun：法国,,no_oewn_match,AI_drafted_from_open_source_semantics,automated_checks_passed,OEWN无候选释义；依据通用地名知识原创整理。
1141,release-word-1141,frank,,curriculum,high_school_compulsory,adjective,adjective：坦率的；直言不讳的,frank%5:00:00:direct:02 | frank%5:00:00:obvious:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,保留常用形容词义，未收录邮政及香肠等低相关义项。
1142,release-word-1142,free,,curriculum,compulsory_education,adjective; verb; adverb,adjective：自由的；免费的；空闲的；可用的 | verb：释放；使自由 | adverb：免费地,free%3:00:00:: | free%5:00:00:unpaid:00 | free%5:00:02:unoccupied:00 | free%5:00:00:unfixed:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,动词和副词义依据基础英语常用义补充。
1143,release-word-1143,freedom,,curriculum,high_school_selective_compulsory,noun,noun：自由；自主；免除,freedom%1:26:00:: | freedom%1:26:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1144,release-word-1144,freeze,,curriculum,high_school_selective_compulsory,verb; noun,verb：结冰；冷冻；冻住；僵住 | noun：冻结；严寒；暂停,freeze%1:22:01:: | freeze%1:19:00:: | freeze%1:04:01:: | freeze%1:04:02:: | freeze%2:38:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1145,release-word-1145,French,,curriculum,compulsory_education,adjective; noun,adjective：法国的；法国人的；法语的 | noun：法语；法国人,french%3:01:00:: | french%1:10:00:: | french%1:18:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1146,release-word-1146,frequency,,curriculum,high_school_selective_compulsory,noun,noun：频率；发生次数；频繁程度,frequency%1:28:00:: | frequency%1:24:00:: | frequency%1:23:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1147,release-word-1147,frequently,,curriculum,high_school_compulsory,adverb,adverb：经常；频繁地,frequently%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1148,release-word-1148,fresh,,curriculum,compulsory_education,adjective,adjective：新鲜的；新近的；清新的；新颖的,fresh%3:00:01:: | fresh%5:00:00:new:00 | fresh%5:00:00:invigorating:00 | fresh%5:00:00:original:00 | fresh%3:00:02::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1149,release-word-1149,friction,,curriculum,high_school_selective_compulsory,noun,noun：摩擦；摩擦力；冲突；不和,friction%1:26:00:: | friction%1:19:00:: | friction%1:04:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1150,release-word-1150,Friday,,curriculum,compulsory_education,proper_noun,proper_noun：星期五,friday%1:28:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1151,release-word-1151,fridge,refrigerator,curriculum,compulsory_education,noun,noun：冰箱；电冰箱,fridge%1:06:00:: | refrigerator%1:06:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1152,release-word-1152,friend,,curriculum,compulsory_education,noun; verb,noun：朋友；友人；支持者 | verb：加为好友,friend%1:18:00:: | friend%1:18:03:: | friend%1:18:02:: | friend%1:18:04::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,动词义依据现代通用用法补充。
1153,release-word-1153,friendly,,curriculum,compulsory_education,adjective,adjective：友好的；亲切的；易于使用的,friendly%3:00:01:: | friendly%5:00:00:amicable:00 | friendly%3:00:03:: | friendly%3:00:02::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1154,release-word-1154,friendship,,curriculum,compulsory_education,noun,noun：友谊；友情,friendship%1:26:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1155,release-word-1155,frightened,,curriculum,high_school_compulsory,adjective,adjective：害怕的；受惊的,frightened%5:00:00:afraid:00 | frightened%5:00:02:afraid:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1156,release-word-1156,frog,,curriculum,high_school_selective_compulsory,noun,noun：青蛙；蛙,frog%1:05:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,排除侮辱性和低相关义项。
1157,release-word-1157,from,,curriculum,compulsory_education,preposition,preposition：从；来自；由；离；因为,,no_oewn_match,AI_drafted_from_open_source_semantics,automated_checks_passed,OEWN无候选释义；依据基础英语功能词用法原创整理。
1158,release-word-1158,front,,curriculum,compulsory_education,noun; adjective; verb,noun：前面；前部；正面；前线 | adjective：前面的 | verb：面向；担任……的主持,front%3:00:00:: | front%1:15:00:: | front%1:15:01:: | front%1:09:00:: | front%1:06:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,动词义依据基础英语常用义补充。
1159,release-word-1159,frontier,,curriculum,high_school_selective_compulsory,noun,noun：边境；边疆；前沿,frontier%1:15:00:: | frontier%1:15:01:: | frontier%1:09:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1160,release-word-1160,frost,,curriculum,high_school_selective_compulsory,noun; verb,noun：霜；严寒天气 | verb：结霜；给……加糖霜,frost%1:27:00:: | frost%1:19:00:: | frost%1:22:01:: | frost%2:35:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1161,release-word-1161,fruit,,curriculum,compulsory_education,noun; verb,noun：水果；果实；成果 | verb：结果实,fruit%1:20:00:: | fruit%1:06:00:: | fruit%1:11:00:: | fruit%2:36:01:: | fruit%2:36:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1162,release-word-1162,fry,,curriculum,high_school_selective_compulsory,verb; noun,verb：油煎；油炸；被晒得酷热 | noun：鱼苗；炸制食品,fry%2:42:00:: | fry%2:30:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,名词常用义依据基础英语用法补充；排除电刑等低相关义项。
1163,release-word-1163,fuel,,curriculum,high_school_selective_compulsory,noun; verb,noun：燃料；推动力 | verb：给……加燃料；加剧；刺激,fuel%1:27:00:: | fuel%2:40:00:: | fuel%2:40:01:: | fuel%2:40:03:: | fuel%2:37:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1164,release-word-1164,full,,curriculum,compulsory_education,adjective,adjective：满的；完整的；充分的；吃饱的,full%3:00:00:: | full%5:00:01:whole:00 | full%5:00:00:complete:00 | full%5:00:00:nourished:00 | full%3:00:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1165,release-word-1165,fun,,curriculum,compulsory_education,noun; adjective,noun：乐趣；玩笑；有趣的事 | adjective：有趣的；好玩的,fun%1:04:00:: | fun%1:10:00:: | fun%1:04:01:: | fun%1:07:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,形容词义依据现代常用用法补充。
1166,release-word-1166,function,,curriculum,high_school_compulsory,noun; verb,noun：功能；作用；职能；函数 | verb：起作用；运转,function%1:24:00:: | function%1:07:00:: | function%1:04:00:: | function%1:24:01:: | function%1:14:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,动词义依据名词核心语义和基础英语用法补充。
1167,release-word-1167,fund,,curriculum,high_school_compulsory,noun; verb,noun：基金；资金；储备 | verb：资助；拨款,fund%1:21:00:: | fund%1:21:01:: | fund%1:14:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,动词义依据基础英语常用义补充。
1168,release-word-1168,fundamental,,curriculum,high_school_selective_compulsory,adjective; noun,adjective：基本的；根本的；重要的 | noun：基本原则；根本要素,fundamental%5:00:00:important:00 | fundamental%5:00:00:basic:00 | fundamental%5:00:00:significant:00 | fundamental%1:11:00:: | fundamental%1:09:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1169,release-word-1169,funny,,curriculum,compulsory_education,adjective; noun,adjective：滑稽的；有趣的；奇怪的；可疑的 | noun：笑话；滑稽故事,funny%5:00:00:humorous:00 | funny%5:00:00:strange:00 | funny%5:00:00:questionable:00 | funny%1:10:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1170,release-word-1170,furniture,,curriculum,high_school_selective_compulsory,noun,noun：家具,furniture%1:06:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1171,release-word-1171,further,,curriculum,high_school_compulsory,adjective; adverb; verb,adjective：更远的；进一步的 | adverb：更远地；进一步；此外 | verb：促进；推进,further%5:00:00:far:00 | further%4:02:02:: | further%4:02:03:: | further%4:02:00:: | further%2:41:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1172,release-word-1172,future,,curriculum,compulsory_education,noun; adjective,noun：未来；将来 | adjective：未来的；将来的,future%3:00:00:: | future%5:00:00:prospective:00 | future%5:00:00:incoming:00 | future%3:01:00:: | future%1:28:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1173,release-word-1173,gain,,curriculum,high_school_selective_compulsory,verb; noun,verb：获得；赢得；增加 | noun：收益；好处；增加量,gain%1:23:00:: | gain%1:07:02:: | gain%1:07:01:: | gain%1:21:00:: | gain%2:40:03::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1174,release-word-1174,gallery,,curriculum,high_school_selective_compulsory,noun,noun：美术馆；画廊；楼座；长廊,gallery%1:14:00:: | gallery%1:06:04:: | gallery%1:06:03:: | gallery%1:06:02::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1175,release-word-1175,game,,curriculum,compulsory_education,noun; adjective,noun：游戏；比赛；运动 | adjective：愿意尝试的；勇敢的,game%5:00:00:brave:00 | game%1:04:00:: | game%1:04:03:: | game%1:04:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,排除跛足等低相关义项。
1176,release-word-1176,gap,,curriculum,high_school_compulsory,noun,noun：缺口；间隙；差距；空白,gap%1:07:00:: | gap%1:17:00:: | gap%1:06:00:: | gap%1:17:01:: | gap%1:10:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1177,release-word-1177,garbage,,curriculum,high_school_selective_compulsory,noun,noun：垃圾；废物；无用的信息,garbage%1:27:00:: | garbage%1:10:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1178,release-word-1178,garden,,curriculum,compulsory_education,noun; verb,noun：花园；菜园；庭院 | verb：从事园艺；种植花木,garden%1:06:00:: | garden%1:14:00:: | garden%1:06:01:: | garden%2:36:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1179,release-word-1179,garlic,,curriculum,high_school_selective_compulsory,noun,noun：大蒜；蒜,garlic%1:20:00:: | garlic%1:13:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1180,release-word-1180,gas,,curriculum,high_school_compulsory,noun; verb,noun：气体；燃气；汽油 | verb：给……加油；用气体处理,gas%1:26:00:: | gas%1:27:00:: | gas%1:27:02:: | gas%1:06:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,动词义依据基础英语常用义补充；排除身体相关义项。
1181,release-word-1181,gate,,curriculum,compulsory_education,noun; verb,noun：大门；登机口；闸门 | verb：给……装门；控制通行,gate%1:06:00:: | gate%1:06:01:: | gate%1:21:00:: | gate%1:06:02:: | gate%2:40:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1182,release-word-1182,gather,,curriculum,high_school_compulsory,verb; noun,verb：聚集；收集；逐渐增加；推断 | noun：聚集；褶裥,gather%1:06:00:: | gather%1:04:00:: | gather%2:35:00:: | gather%2:41:00:: | gather%2:30:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,“推断”依据基础英语常用义补充。
1183,release-word-1183,gender,,curriculum,high_school_selective_compulsory,noun,noun：性别；社会性别；语法上的性,gender%1:10:00:: | gender%1:07:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,中文采用现代中性表述；OEWN对应义项范围较窄。
1184,release-word-1184,general,,curriculum,compulsory_education,adjective; noun,adjective：一般的；普遍的；总体的；大致的 | noun：将军；一般情况,general%3:00:00:: | general%5:00:00:undiversified:00 | general%5:00:00:common:01 | general%3:00:02:: | general%5:00:00:imprecise:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,名词义依据基础英语常用义补充。
1185,release-word-1185,generate,,curriculum,high_school_selective_compulsory,verb,verb：产生；生成；引起；发电,generate%2:36:00:: | generate%2:36:02:: | generate%2:36:01:: | generate%2:29:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1186,release-word-1186,generation,,curriculum,high_school_compulsory,noun,noun：一代人；一代；产生；发电,generation%1:14:01:: | generation%1:14:00:: | generation%1:28:00:: | generation%1:28:01:: | generation%1:11:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1187,release-word-1187,generous,,curriculum,high_school_compulsory,adjective,adjective：慷慨的；宽宏大量的；丰富的,generous%3:00:01:: | generous%3:00:02:: | generous%5:00:00:ample:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1188,release-word-1188,genius,,curriculum,high_school_selective_compulsory,noun,noun：天才；天赋；才智,genius%1:18:00:: | genius%1:09:02:: | genius%1:18:01:: | genius%1:09:00:: | genius%1:09:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1189,release-word-1189,gentle,,curriculum,high_school_selective_compulsory,adjective,adjective：温和的；和善的；轻柔的；驯服的,gentle%5:00:00:mild:00 | gentle%5:00:01:kind:00 | gentle%5:00:00:soft:04 | gentle%5:00:00:tame:01,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1190,release-word-1190,gentleman,,curriculum,compulsory_education,noun,noun：绅士；有教养的男士；先生,gentleman%1:18:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,排除旧式男仆义项。
1191,release-word-1191,genuine,,curriculum,high_school_selective_compulsory,adjective,adjective：真正的；真实的；真诚的,genuine%3:00:00:: | genuine%5:00:00:sincere:00 | genuine%5:00:00:true:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1192,release-word-1192,geography,,curriculum,compulsory_education,noun,noun：地理学；地理,geography%1:09:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1193,release-word-1193,geometry,,curriculum,high_school_selective_compulsory,noun,noun：几何学；几何,geometry%1:09:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1194,release-word-1194,German,,curriculum,compulsory_education,adjective; noun,adjective：德国的；德国人的；德语的 | noun：德国人；德语,german%3:01:00:: | german%1:18:00:: | german%1:10:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1195,release-word-1195,Germany,,curriculum,compulsory_education,proper_noun,proper_noun：德国,,no_oewn_match,AI_drafted_from_open_source_semantics,automated_checks_passed,OEWN无候选释义；依据通用地名知识原创整理。
1196,release-word-1196,get,,curriculum,compulsory_education,verb,verb：得到；获得；到达；变得；理解；使得,get%2:40:00:: | get%2:30:00:: | get%2:30:02:: | get%2:30:03::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,归纳基础英语中最常用的核心义项。
1197,release-word-1197,gift,,curriculum,compulsory_education,noun; verb,noun：礼物；赠品；天赋 | verb：赠送；赋予,gift%1:21:00:: | gift%1:09:00:: | gift%1:04:00:: | gift%2:41:00:: | gift%2:40:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1198,release-word-1198,gifted,,curriculum,high_school_selective_compulsory,adjective,adjective：有天赋的；有才华的,gifted%3:00:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1199,release-word-1199,giraffe,,curriculum,compulsory_education,noun,noun：长颈鹿,giraffe%1:05:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1200,release-word-1200,girl,,curriculum,compulsory_education,noun,noun：女孩；姑娘；女儿；女朋友,girl%1:18:00:: | girl%1:18:02:: | girl%1:18:04:: | girl%1:18:01:: | girl%1:18:03::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,采用中性、常用中文表述。
1201,release-word-1201,give,,curriculum,compulsory_education,verb,verb：给；给予；赠送；提供；使产生,give%2:40:03:: | give%2:40:05:: | give%2:40:00:: | give%2:40:07::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1202,release-word-1202,glad,,curriculum,compulsory_education,adjective,adjective：高兴的；乐意的；感激的,glad%3:00:00:: | glad%5:00:00:willing:00 | glad%5:00:00:grateful:00 | glad%5:00:00:cheerful:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1203,release-word-1203,glass,,curriculum,compulsory_education,noun,noun：玻璃；玻璃杯；一杯的量；眼镜,glass%1:27:00:: | glass%1:06:00:: | glass%1:23:00:: | glass%1:06:03:: | glass%1:06:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1204,release-word-1204,global,,curriculum,high_school_compulsory,adjective,adjective：全球的；全世界的；整体的,global%5:00:00:international:00 | global%5:00:00:round:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,“整体的”依据词形和基础英语常用义补充。
1205,release-word-1205,globe,,curriculum,high_school_selective_compulsory,noun,noun：球体；地球仪；地球,globe%1:25:00:: | globe%1:06:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1206,release-word-1206,glove,,curriculum,compulsory_education,noun,noun：手套；拳击手套；棒球手套,glove%1:06:01:: | glove%1:06:00:: | glove%1:06:02::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1207,release-word-1207,glue,,curriculum,compulsory_education,noun; verb,noun：胶；胶水 | verb：粘合；紧盯,glue%1:27:00:: | glue%2:35:00:: | glue%2:30:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1208,release-word-1208,go,,curriculum,compulsory_education,verb; noun; adjective,verb：去；走；进行；变得 | noun：尝试；轮到的机会 | adjective：正常运行的,go%3:00:00:: | go%1:28:00:: | go%1:04:01:: | go%1:04:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,动词核心义依据基础英语常用用法归纳。
1209,release-word-1209,goal,,curriculum,high_school_compulsory,noun,noun：目标；目的；球门；进球,goal%1:09:00:: | goal%1:15:00:: | goal%1:06:00:: | goal%1:04:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1210,release-word-1210,goat,,curriculum,high_school_selective_compulsory,noun,noun：山羊；替罪羊,goat%1:05:00:: | goat%1:18:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1211,release-word-1211,gold,,curriculum,compulsory_education,noun; adjective,noun：金；黄金；金色 | adjective：金色的；金制的,gold%5:00:00:metallic:00 | gold%5:00:00:chromatic:00 | gold%1:21:00:: | gold%1:07:00:: | gold%1:27:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1212,release-word-1212,golf,,curriculum,high_school_selective_compulsory,noun; verb,noun：高尔夫球运动 | verb：打高尔夫球,golf%1:04:00:: | golf%2:33:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
1213,release-word-1213,good,,curriculum,compulsory_education,adjective; noun,adjective：好的；优良的；有益的；合适的 | noun：好处；善,good%3:00:01:: | good%5:00:00:ample:00 | good%3:00:02:: | good%5:00:00:reputable:00 | good%5:00:00:advantageous:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,名词义依据基础英语常用义补充。
