sequence,phrase,normalized_phrase,introduced_level,evidence_route,form_evidence,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,minimum_lexical_level,editorial_status,human_review_claimed
170,mother tongue,mother tongue,cet4,approved_dictionary_candidate_pool,OEWN,n,mother_tongue%1:10:00::,true,3,cet4,selected_for_cross_level_review,false
171,stock exchange,stock exchange,cet4,approved_dictionary_candidate_pool,OEWN,n,stock_exchange%1:06:00::,true,3,cet4,selected_for_cross_level_review,false
172,body mass index,body mass index,cet4,approved_dictionary_candidate_pool,OEWN,n,body_mass_index%1:10:00::,false,4,cet4,selected_for_cross_level_review,false
173,code of conduct,code of conduct,cet4,approved_dictionary_candidate_pool,OEWN,n,code_of_conduct%1:09:00::,false,4,cet4,selected_for_cross_level_review,false
174,population growth,population growth,cet4,approved_dictionary_candidate_pool,OEWN,n,population_growth%1:22:00::,false,4,cet4,selected_for_cross_level_review,false
175,language learning,language learning,cet4,approved_dictionary_candidate_pool,OEWN,n,language_learning%1:09:00::,false,4,cet4,selected_for_cross_level_review,false
176,life expectancy,life expectancy,cet4,approved_dictionary_candidate_pool,OEWN,n,life_expectancy%1:28:00::,true,2,cet4,selected_for_cross_level_review,false
177,light bulb,light bulb,cet4,approved_dictionary_candidate_pool,OEWN,n,light_bulb%1:06:00::,true,2,cet4,selected_for_cross_level_review,false
178,lightning rod,lightning rod,cet4,approved_dictionary_candidate_pool,OEWN,n,lightning_rod%1:06:00::|lightning_rod%1:18:00::,true,2,cet4,selected_for_cross_level_review,false
179,stock market,stock market,cet4,approved_dictionary_candidate_pool,OEWN,n,stock_market%1:06:00::,true,2,cet4,selected_for_cross_level_review,false
180,urban renewal,urban renewal,cet4,approved_dictionary_candidate_pool,OEWN,n,urban_renewal%1:04:00::,true,2,cet4,selected_for_cross_level_review,false
181,stage fright,stage fright,cet4,approved_dictionary_candidate_pool,OEWN,n,stage_fright%1:12:00::,true,2,cet4,selected_for_cross_level_review,false
182,rat race,rat race,cet4,approved_dictionary_candidate_pool,OEWN,n,rat_race%1:04:00::,true,2,cet4,selected_for_cross_level_review,false
183,road rage,road rage,cet4,approved_dictionary_candidate_pool,OEWN,n,road_rage%1:04:00::,false,2,cet4,selected_for_cross_level_review,false
184,ozone layer,ozone layer,cet4,approved_dictionary_candidate_pool,OEWN,n,ozone_layer%1:17:00::,false,2,cet4,selected_for_cross_level_review,false
185,prescription drug,prescription drug,cet4,approved_dictionary_candidate_pool,OEWN,n,prescription_drug%1:06:00::,false,2,cet4,selected_for_cross_level_review,false
186,organ donor,organ donor,cet4,approved_dictionary_candidate_pool,OEWN,n,organ_donor%1:18:00::,false,2,cet4,selected_for_cross_level_review,false
187,extended family,extended family,cet4,approved_dictionary_candidate_pool,OEWN,n,extended_family%1:14:00::,true,1,cet4,selected_for_cross_level_review,false
188,fossil fuel,fossil fuel,cet4,approved_dictionary_candidate_pool,OEWN,n,fossil_fuel%1:27:00::,false,3,cet4,selected_for_cross_level_review,false
189,growth rate,growth rate,cet4,approved_dictionary_candidate_pool,OEWN,n,growth_rate%1:28:00::,false,3,cet4,selected_for_cross_level_review,false
190,life span,life span,cet4,approved_dictionary_candidate_pool,Moby,,,true,1,cet4,selected_for_cross_level_review,false
191,tourist attraction,tourist attraction,cet4,approved_dictionary_candidate_pool,OEWN,n,tourist_attraction%1:09:00::,false,5,cet4,selected_for_cross_level_review,false
192,user friendly,user friendly,cet4,approved_dictionary_candidate_pool,OEWN,a,user-friendly%5:00:00:easy:01,false,3,cet4,selected_for_cross_level_review,false
193,crystal clear,crystal clear,cet4,approved_dictionary_candidate_pool,OEWN,a,crystal_clear%5:00:00:clear:00|crystal_clear%5:00:00:clear:02,false,3,cet4,selected_for_cross_level_review,false
194,high altitude,high altitude,cet4,approved_dictionary_candidate_pool,OEWN,a,high-altitude%5:00:00:high:01,false,3,cet4,selected_for_cross_level_review,false
195,fairy tale,fairy tale,cet4,approved_dictionary_candidate_pool,OEWN,n,fairy_tale%1:10:00::|fairy_tale%1:10:01::,true,3,cet4,selected_for_cross_level_review,false
196,genetic code,genetic code,cet4,approved_dictionary_candidate_pool,OEWN,n,genetic_code%1:14:00::,true,3,cet4,selected_for_cross_level_review,false
197,blood vessel,blood vessel,cet4,approved_dictionary_candidate_pool,OEWN,n,blood_vessel%1:08:00::,true,3,cet4,selected_for_cross_level_review,false
198,atomic number,atomic number,cet4,approved_dictionary_candidate_pool,OEWN,n,atomic_number%1:23:00::,true,3,cet4,selected_for_cross_level_review,false
199,assembly line,assembly line,cet4,approved_dictionary_candidate_pool,OEWN,n,assembly_line%1:06:00::,true,2,cet4,selected_for_cross_level_review,false
200,amusement park,amusement park,cet4,approved_dictionary_candidate_pool,OEWN,n,amusement_park%1:15:00::,true,2,cet4,selected_for_cross_level_review,false
201,continental breakfast,continental breakfast,cet4,approved_dictionary_candidate_pool,OEWN,n,continental_breakfast%1:13:00::,true,2,cet4,selected_for_cross_level_review,false
202,digestive system,digestive system,cet4,approved_dictionary_candidate_pool,OEWN,n,digestive_system%1:08:00::,false,2,cet4,selected_for_cross_level_review,false
203,dress code,dress code,cet4,approved_dictionary_candidate_pool,OEWN,n,dress_code%1:10:00::,false,2,cet4,selected_for_cross_level_review,false
204,documentary film,documentary film,cet4,approved_dictionary_candidate_pool,OEWN,n,documentary_film%1:10:00::,false,2,cet4,selected_for_cross_level_review,false
205,greeting card,greeting card,cet4,approved_dictionary_candidate_pool,OEWN,n,greeting_card%1:10:00::,false,2,cet4,selected_for_cross_level_review,false
206,genetic engineering,genetic engineering,cet4,approved_dictionary_candidate_pool,OEWN,n,genetic_engineering%1:09:00::,false,2,cet4,selected_for_cross_level_review,false
207,gross domestic product,gross domestic product,cet4,approved_dictionary_candidate_pool,OEWN,n,gross_domestic_product%1:21:00::,false,2,cet4,selected_for_cross_level_review,false
208,intensive care unit,intensive care unit,cet4,approved_dictionary_candidate_pool,OEWN,n,intensive_care_unit%1:14:00::,false,2,cet4,selected_for_cross_level_review,false
209,monetary fund,monetary fund,cet4,approved_dictionary_candidate_pool,OEWN,n,monetary_fund%1:21:00::,false,2,cet4,selected_for_cross_level_review,false
210,musical scale,musical scale,cet4,approved_dictionary_candidate_pool,OEWN,n,musical_scale%1:10:00::,false,2,cet4,selected_for_cross_level_review,false
211,organ transplant,organ transplant,cet4,approved_dictionary_candidate_pool,OEWN,n,organ_transplant%1:04:00::,false,3,cet4,selected_for_cross_level_review,false
212,shopping cart,shopping cart,cet4,approved_dictionary_candidate_pool,OEWN,n,shopping_cart%1:06:00::,false,2,cet4,selected_for_cross_level_review,false
213,storage room,storage room,cet4,approved_dictionary_candidate_pool,OEWN,n,storage_room%1:06:00::,false,2,cet4,selected_for_cross_level_review,false
214,stem cell research,stem cell research,cet4,approved_dictionary_candidate_pool,OEWN,n,stem-cell_research%1:04:00::,false,2,cet4,selected_for_cross_level_review,false
215,twentieth century,twentieth century,cet4,approved_dictionary_candidate_pool,OEWN,n,twentieth_century%1:28:00::,false,2,cet4,selected_for_cross_level_review,false
216,at first sight,at first sight,cet4,approved_dictionary_candidate_pool,OEWN,r,at_first_sight%4:02:00::|at_first_sight%4:02:01::,false,1,cet4,selected_for_cross_level_review,false
217,one on one,one on one,cet4,approved_dictionary_candidate_pool,OEWN,a|r,one-on-one%4:02:00::|one-on-one%5:00:00:individual:00|one-on-one%5:00:00:private:00,false,1,cet4,selected_for_cross_level_review,false
218,aptitude test,aptitude test,cet4,approved_dictionary_candidate_pool,Moby,,,true,1,cet4,selected_for_cross_level_review,false
219,atmospheric pressure,atmospheric pressure,cet4,approved_dictionary_candidate_pool,OEWN,n,atmospheric_pressure%1:19:00::,true,1,cet4,selected_for_cross_level_review,false
220,brain drain,brain drain,cet4,approved_dictionary_candidate_pool,OEWN,n,brain_drain%1:04:00::,true,1,cet4,selected_for_cross_level_review,false
221,bulletin board,bulletin board,cet4,approved_dictionary_candidate_pool,OEWN,n,bulletin_board%1:06:00::|bulletin_board%1:06:01::,true,1,cet4,selected_for_cross_level_review,false
222,carbon dating,carbon dating,cet4,approved_dictionary_candidate_pool,OEWN,n,carbon_dating%1:04:00::,true,1,cet4,selected_for_cross_level_review,false
223,collective farm,collective farm,cet4,approved_dictionary_candidate_pool,OEWN,n,collective_farm%1:14:00::,true,1,cet4,selected_for_cross_level_review,false
224,cooperative society,cooperative society,cet4,approved_dictionary_candidate_pool,Moby,,,true,1,cet4,selected_for_cross_level_review,false
225,employment agency,employment agency,cet4,approved_dictionary_candidate_pool,OEWN,n,employment_agency%1:14:00::,true,1,cet4,selected_for_cross_level_review,false
226,engagement ring,engagement ring,cet4,approved_dictionary_candidate_pool,OEWN,n,engagement_ring%1:06:00::,true,1,cet4,selected_for_cross_level_review,false
227,executive officer,executive officer,cet4,approved_dictionary_candidate_pool,OEWN,n,executive_officer%1:18:00::,true,1,cet4,selected_for_cross_level_review,false
228,eye opening,eye opening,cet4,approved_dictionary_candidate_pool,Moby,,,true,1,cet4,selected_for_cross_level_review,false
229,first edition,first edition,cet4,approved_dictionary_candidate_pool,Moby,,,true,1,cet4,selected_for_cross_level_review,false
230,flesh and blood,flesh and blood,cet4,approved_dictionary_candidate_pool,Moby,,,true,1,cet4,selected_for_cross_level_review,false
231,flight recorder,flight recorder,cet4,approved_dictionary_candidate_pool,Moby,,,true,1,cet4,selected_for_cross_level_review,false
232,free agent,free agent,cet4,approved_dictionary_candidate_pool,OEWN,n,free_agent%1:18:00::|free_agent%1:18:01::,true,1,cet4,selected_for_cross_level_review,false
233,air freight,air freight,cet4,approved_dictionary_candidate_pool,OEWN,v,air-freight%2:38:00::,false,0,cet4,selected_for_cross_level_review,false
234,business cycle,business cycle,cet4,approved_dictionary_candidate_pool,OEWN,n,business_cycle%1:11:00::,true,0,senior_high,selected_for_cross_level_review,false
235,consumer goods,consumer goods,cet4,approved_dictionary_candidate_pool,OEWN,n,consumer_goods%1:06:00::,true,0,cet4,selected_for_cross_level_review,false
236,data analysis,data analysis,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
237,decision making,decision making,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,8,manual_stage_check,selected_for_cross_level_review,false
238,economic policy,economic policy,cet4,approved_dictionary_candidate_pool,OEWN,n,economic_policy%1:10:00::,false,1,senior_high,selected_for_cross_level_review,false
239,energy consumption,energy consumption,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,2,manual_stage_check,selected_for_cross_level_review,false
240,environmental protection,environmental protection,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,11,manual_stage_check,selected_for_cross_level_review,false
241,financial crisis,financial crisis,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,4,manual_stage_check,selected_for_cross_level_review,false
242,global economy,global economy,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,5,manual_stage_check,selected_for_cross_level_review,false
243,human rights,human rights,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,61,manual_stage_check,selected_for_cross_level_review,false
244,information technology,information technology,cet4,approved_dictionary_candidate_pool,OEWN,n,information_technology%1:09:00::,false,2,junior,selected_for_cross_level_review,false
245,international trade,international trade,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,4,manual_stage_check,selected_for_cross_level_review,false
246,natural resource,natural resource,cet4,approved_dictionary_candidate_pool,OEWN,n,natural_resource%1:21:00::,false,0,senior_high,selected_for_cross_level_review,false
247,public opinion,public opinion,cet4,approved_dictionary_candidate_pool,OEWN,n,public_opinion%1:09:00::,true,1,junior,selected_for_cross_level_review,false
248,quality control,quality control,cet4,approved_dictionary_candidate_pool,OEWN,n,quality_control%1:04:00::,true,1,junior,selected_for_cross_level_review,false
249,social responsibility,social responsibility,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
250,sustainable development,sustainable development,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,6,manual_stage_check,selected_for_cross_level_review,false
251,take into account,take into account,cet4,approved_dictionary_candidate_pool,OEWN,v,take_into_account%2:31:00::,false,0,junior,selected_for_cross_level_review,false
252,be aware of,be aware of,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,2,manual_stage_check,selected_for_cross_level_review,false
253,be capable of,be capable of,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
254,be responsible for,be responsible for,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
255,contribute to,contribute to,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,17,manual_stage_check,selected_for_cross_level_review,false
256,cope with,cope with,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,7,manual_stage_check,selected_for_cross_level_review,false
257,engage in,engage in,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,3,manual_stage_check,selected_for_cross_level_review,false
258,insist on,insist on,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,5,manual_stage_check,selected_for_cross_level_review,false
259,participate in,participate in,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,7,manual_stage_check,selected_for_cross_level_review,false
260,recover from,recover from,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,8,manual_stage_check,selected_for_cross_level_review,false
261,adapt to,adapt to,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,11,manual_stage_check,selected_for_cross_level_review,false
262,approve of,approve of,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,4,manual_stage_check,selected_for_cross_level_review,false
263,consist of,consist of,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,2,manual_stage_check,selected_for_cross_level_review,false
264,object to,object to,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
265,suffer from,suffer from,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,9,manual_stage_check,selected_for_cross_level_review,false
266,benefit from,benefit from,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,4,manual_stage_check,selected_for_cross_level_review,false
267,communicate with,communicate with,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,3,manual_stage_check,selected_for_cross_level_review,false
268,compete with,compete with,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,2,manual_stage_check,selected_for_cross_level_review,false
269,concentrate on,concentrate on,cet4,approved_dictionary_candidate_pool,OEWN,v,concentrate_on%2:42:00::,false,0,senior_high,selected_for_cross_level_review,false
270,be likely to,be likely to,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
271,have access to,have access to,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,4,manual_stage_check,selected_for_cross_level_review,false
272,make use of,make use of,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
273,play a role in,play a role in,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,3,manual_stage_check,selected_for_cross_level_review,false
274,account for,account for,cet4,approved_dictionary_candidate_pool,OEWN,v,account_for%2:32:00::|account_for%2:42:00::,true,7,junior,selected_for_cross_level_review,false
275,carry out,carry out,cet4,approved_dictionary_candidate_pool,OEWN,v,carry_out%2:30:00::|carry_out%2:36:00::,true,9,junior,selected_for_cross_level_review,false
276,focus on,focus on,cet4,approved_dictionary_candidate_pool,OEWN,v,focus_on%2:42:00::,false,20,junior,selected_for_cross_level_review,false
277,take over,take over,cet4,approved_dictionary_candidate_pool,OEWN,v,take_over%2:40:00::|take_over%2:40:03::|take_over%2:40:05::|take_over%2:40:06::|take_over%2:40:07::|take_over%2:41:00::|take_over%2:41:01::|take_over%2:41:02::,true,6,junior,selected_for_cross_level_review,false
278,trade in,trade in,cet4,approved_dictionary_candidate_pool,OEWN,n|v,trade-in%1:21:00::|trade_in%2:40:00::,true,4,junior,selected_for_cross_level_review,false
279,watch over,watch over,cet4,approved_dictionary_candidate_pool,OEWN,v,watch_over%2:41:00::,false,6,junior,selected_for_cross_level_review,false
280,act as,act as,cet4,approved_dictionary_candidate_pool,OEWN,v,act_as%2:29:00::|act_as%2:42:00::,false,8,junior,selected_for_cross_level_review,false
281,do with,do with,cet4,approved_dictionary_candidate_pool,Moby,,,true,36,junior,selected_for_cross_level_review,false
282,run for,run for,cet4,approved_dictionary_candidate_pool,OEWN,v,run_for%2:42:00::,false,7,junior,selected_for_cross_level_review,false
283,center on,center on,cet4,approved_dictionary_candidate_pool,OEWN,v,center_on%2:42:00::|center_on%2:42:01::,false,6,junior,selected_for_cross_level_review,false
284,look into,look into,cet4,approved_dictionary_candidate_pool,OEWN,v,look_into%2:31:00::|look_into%2:32:00::,false,5,junior,selected_for_cross_level_review,false
285,answer for,answer for,cet4,approved_dictionary_candidate_pool,OEWN,v,answer_for%2:32:00::,true,3,junior,selected_for_cross_level_review,false
286,break out,break out,cet4,approved_dictionary_candidate_pool,OEWN,v,break_out%2:30:00::|break_out%2:30:03::|break_out%2:30:04::|break_out%2:35:00::|break_out%2:38:00::,true,2,junior,selected_for_cross_level_review,false
287,bring in,bring in,cet4,approved_dictionary_candidate_pool,OEWN,v,bring_in%2:38:00::|bring_in%2:38:01::|bring_in%2:40:00::|bring_in%2:40:01::|bring_in%2:40:03::,true,2,junior,selected_for_cross_level_review,false
288,burn out,burn out,cet4,approved_dictionary_candidate_pool,OEWN,v,burn_out%2:30:00::,true,2,junior,selected_for_cross_level_review,false
289,come around,come around,cet4,approved_dictionary_candidate_pool,OEWN,v,come_around%2:30:06::|come_around%2:31:00::,false,3,junior,selected_for_cross_level_review,false
290,cover up,cover up,cet4,approved_dictionary_candidate_pool,OEWN,n|v,cover-up%1:04:00::|cover_up%2:39:00::,true,4,junior,selected_for_cross_level_review,false
291,stand out,stand out,cet4,approved_dictionary_candidate_pool,OEWN,v,stand_out%2:33:01::|stand_out%2:38:00::|stand_out%2:42:00::|stand_out%2:42:02::,true,4,junior,selected_for_cross_level_review,false
292,step up,step up,cet4,approved_dictionary_candidate_pool,OEWN,n|v,step-up%1:04:00::|step_up%2:30:00::|step_up%2:30:01::|step_up%2:38:00::,true,3,junior,selected_for_cross_level_review,false
293,sign up,sign up,cet4,approved_dictionary_candidate_pool,OEWN,v,sign_up%2:33:00::|sign_up%2:41:00::,true,3,junior,selected_for_cross_level_review,false
294,draw on,draw on,cet4,approved_dictionary_candidate_pool,Moby,,,true,1,junior,selected_for_cross_level_review,false
295,get ahead,get ahead,cet4,approved_dictionary_candidate_pool,OEWN,v,get_ahead%2:33:00::,true,1,junior,selected_for_cross_level_review,false
296,go about,go about,cet4,approved_dictionary_candidate_pool,OEWN,v,go_about%2:41:00::,true,2,junior,selected_for_cross_level_review,false
297,hold up,hold up,cet4,approved_dictionary_candidate_pool,OEWN,v,hold_up%2:30:00::|hold_up%2:35:00::|hold_up%2:39:00::|hold_up%2:40:00::|hold_up%2:42:00::|hold_up%2:42:01::|hold_up%2:42:02::,false,1,junior,selected_for_cross_level_review,false
298,lay off,lay off,cet4,approved_dictionary_candidate_pool,OEWN,v,lay_off%2:41:00::|lay_off%2:42:00::,true,1,junior,selected_for_cross_level_review,false
299,look down on,look down on,cet4,approved_dictionary_candidate_pool,OEWN,v,look_down_on%2:37:00::,false,2,junior,selected_for_cross_level_review,false
300,make do,make do,cet4,approved_dictionary_candidate_pool,OEWN,n|v,make-do%1:04:00::|make_do%2:41:00::,false,1,junior,selected_for_cross_level_review,false
