sequence,phrase,normalized_phrase,introduced_level,evidence_route,form_evidence,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,minimum_lexical_level,editorial_status,human_review_claimed
171,speak for,speak for,cet6,approved_dictionary_candidate_pool,OEWN,v,speak_for%2:41:00::,true,1,junior,selected_for_cross_level_review,false
172,speak out,speak out,cet6,approved_dictionary_candidate_pool,OEWN,v,speak_out%2:32:00::,true,1,junior,selected_for_cross_level_review,false
173,step down,step down,cet6,approved_dictionary_candidate_pool,OEWN,n|v,step-down%1:04:00::|step_down%2:30:04::|step_down%2:41:00::,true,1,junior,selected_for_cross_level_review,false
174,stick together,stick together,cet6,approved_dictionary_candidate_pool,OEWN,v,stick_together%2:41:00::,true,1,junior,selected_for_cross_level_review,false
175,take back,take back,cet6,approved_dictionary_candidate_pool,OEWN,v,take_back%2:31:00::|take_back%2:32:00::|take_back%2:38:00::|take_back%2:38:03::|take_back%2:40:00::|take_back%2:41:00::,true,1,junior,selected_for_cross_level_review,false
176,take out,take out,cet6,approved_dictionary_candidate_pool,OEWN,v,take_out%2:30:00::|take_out%2:31:00::|take_out%2:31:01::|take_out%2:34:00::|take_out%2:35:00::|take_out%2:35:01::|take_out%2:35:09::|take_out%2:38:00::|take_out%2:38:10::|take_out%2:40:00::|take_out%2:40:01::|take_out%2:40:02::|take_out%2:41:00::|take_out%2:41:01::,true,1,junior,selected_for_cross_level_review,false
177,throw out,throw out,cet6,approved_dictionary_candidate_pool,OEWN,v,throw_out%2:32:00::|throw_out%2:32:01::|throw_out%2:40:00::|throw_out%2:41:00::|throw_out%2:41:01::,true,1,junior,selected_for_cross_level_review,false
178,touch off,touch off,cet6,approved_dictionary_candidate_pool,OEWN,v,touch_off%2:36:00::,true,1,junior,selected_for_cross_level_review,false
179,turn in,turn in,cet6,approved_dictionary_candidate_pool,OEWN,v,turn_in%2:29:00::|turn_in%2:36:00::|turn_in%2:38:00::|turn_in%2:40:00::,true,1,junior,selected_for_cross_level_review,false
180,turn up,turn up,cet6,approved_dictionary_candidate_pool,OEWN,v,turn_up%2:30:00::|turn_up%2:35:00::|turn_up%2:35:03::|turn_up%2:40:00::|turn_up%2:42:03::,true,1,junior,selected_for_cross_level_review,false
181,wear down,wear down,cet6,approved_dictionary_candidate_pool,OEWN,v,wear_down%2:29:00::|wear_down%2:30:00::,true,1,junior,selected_for_cross_level_review,false
182,write in,write in,cet6,approved_dictionary_candidate_pool,OEWN,n|v,write-in%1:04:00::|write-in%1:18:00::|write_in%2:32:00::|write_in%2:41:00::,true,1,junior,selected_for_cross_level_review,false
183,act upon,act upon,cet6,approved_dictionary_candidate_pool,OEWN,v,act_upon%2:41:00::,false,1,junior,selected_for_cross_level_review,false
184,allow for,allow for,cet6,approved_dictionary_candidate_pool,OEWN,v,allow_for%2:42:00::,false,1,junior,selected_for_cross_level_review,false
185,back off,back off,cet6,approved_dictionary_candidate_pool,OEWN,v,back_off%2:38:00::|back_off%2:41:00::,false,1,junior,selected_for_cross_level_review,false
186,band together,band together,cet6,approved_dictionary_candidate_pool,OEWN,v,band_together%2:41:00::,false,1,junior,selected_for_cross_level_review,false
187,beat back,beat back,cet6,approved_dictionary_candidate_pool,OEWN,v,beat_back%2:35:00::,false,1,junior,selected_for_cross_level_review,false
188,break off,break off,cet6,approved_dictionary_candidate_pool,OEWN,v,break_off%2:30:03::|break_off%2:35:00::|break_off%2:35:01::|break_off%2:35:02::|break_off%2:42:01::,false,1,junior,selected_for_cross_level_review,false
189,build upon,build upon,cet6,approved_dictionary_candidate_pool,OEWN,v,build_upon%2:42:00::,false,1,junior,selected_for_cross_level_review,false
190,cash in on,cash in on,cet6,approved_dictionary_candidate_pool,OEWN,v,cash_in_on%2:40:00::,false,1,junior,selected_for_cross_level_review,false
191,chip away,chip away,cet6,approved_dictionary_candidate_pool,OEWN,v,chip_away%2:30:00::,false,1,junior,selected_for_cross_level_review,false
192,clock in,clock in,cet6,approved_dictionary_candidate_pool,OEWN,v,clock_in%2:32:00::,false,1,junior,selected_for_cross_level_review,false
193,come to mind,come to mind,cet6,approved_dictionary_candidate_pool,OEWN,v,come_to_mind%2:31:00::,false,1,junior,selected_for_cross_level_review,false
194,come up to,come up to,cet6,approved_dictionary_candidate_pool,OEWN,v,come_up_to%2:32:00::,false,1,junior,selected_for_cross_level_review,false
195,cool off,cool off,cet6,approved_dictionary_candidate_pool,OEWN,v,cool_off%2:30:00::|cool_off%2:37:00::|cool_off%2:37:01::,false,1,junior,selected_for_cross_level_review,false
196,cut away,cut away,cet6,approved_dictionary_candidate_pool,OEWN,v,cut_away%2:35:00::|cut_away%2:38:00::,false,1,junior,selected_for_cross_level_review,false
197,date from,date from,cet6,approved_dictionary_candidate_pool,OEWN,v,date_from%2:42:00::,false,1,junior,selected_for_cross_level_review,false
198,deal out,deal out,cet6,approved_dictionary_candidate_pool,OEWN,v,deal_out%2:40:00::,false,1,junior,selected_for_cross_level_review,false
199,die off,die off,cet6,approved_dictionary_candidate_pool,OEWN,v,die_off%2:30:00::,false,1,junior,selected_for_cross_level_review,false
200,double over,double over,cet6,approved_dictionary_candidate_pool,OEWN,v,double_over%2:38:00::,false,1,junior,selected_for_cross_level_review,false
201,drive out,drive out,cet6,approved_dictionary_candidate_pool,OEWN,v,drive_out%2:30:03::|drive_out%2:38:00::|drive_out%2:38:01::,false,1,junior,selected_for_cross_level_review,false
202,fall under,fall under,cet6,approved_dictionary_candidate_pool,OEWN,v,fall_under%2:42:00::,false,1,junior,selected_for_cross_level_review,false
203,fan out,fan out,cet6,approved_dictionary_candidate_pool,OEWN,v,fan_out%2:38:00::,false,1,junior,selected_for_cross_level_review,false
204,feel out,feel out,cet6,approved_dictionary_candidate_pool,OEWN,v,feel_out%2:32:00::,false,1,junior,selected_for_cross_level_review,false
205,fight off,fight off,cet6,approved_dictionary_candidate_pool,OEWN,v,fight_off%2:33:00::,false,1,junior,selected_for_cross_level_review,false
206,fire up,fire up,cet6,approved_dictionary_candidate_pool,OEWN,v,fire_up%2:34:00::|fire_up%2:37:00::,false,1,junior,selected_for_cross_level_review,false
207,get hold of,get hold of,cet6,approved_dictionary_candidate_pool,OEWN,v,get_hold_of%2:31:00::|get_hold_of%2:32:00::|get_hold_of%2:35:00::,false,1,junior,selected_for_cross_level_review,false
208,get in touch,get in touch,cet6,approved_dictionary_candidate_pool,OEWN,v,get_in_touch%2:41:00::,false,1,junior,selected_for_cross_level_review,false
209,kick in,kick in,cet6,approved_dictionary_candidate_pool,OEWN,v,kick_in%2:35:00::|kick_in%2:40:00::|kick_in%2:42:00::,false,1,junior,selected_for_cross_level_review,false
210,kick out,kick out,cet6,approved_dictionary_candidate_pool,OEWN,v,kick_out%2:41:00::|kick_out%2:41:01::,false,1,junior,selected_for_cross_level_review,false
211,knock over,knock over,cet6,approved_dictionary_candidate_pool,OEWN,v,knock_over%2:38:00::,false,1,junior,selected_for_cross_level_review,false
212,live with,live with,cet6,approved_dictionary_candidate_pool,OEWN,v,live_with%2:31:00::,false,1,junior,selected_for_cross_level_review,false
213,look away,look away,cet6,approved_dictionary_candidate_pool,OEWN,v,look_away%2:39:00::,false,1,junior,selected_for_cross_level_review,false
214,make a point,make a point,cet6,approved_dictionary_candidate_pool,OEWN,v,make_a_point%2:41:00::,false,1,junior,selected_for_cross_level_review,false
215,make fun of,make fun of,cet6,approved_dictionary_candidate_pool,OEWN,v,make_fun_of%2:32:00::,false,1,junior,selected_for_cross_level_review,false
216,move over,move over,cet6,approved_dictionary_candidate_pool,OEWN,v,move_over%2:38:00::,false,1,junior,selected_for_cross_level_review,false
217,own up,own up,cet6,approved_dictionary_candidate_pool,OEWN,v,own_up%2:32:00::,false,1,junior,selected_for_cross_level_review,false
218,part with,part with,cet6,approved_dictionary_candidate_pool,OEWN,v,part_with%2:40:00::,false,1,junior,selected_for_cross_level_review,false
219,pass on,pass on,cet6,approved_dictionary_candidate_pool,OEWN,v,pass_on%2:32:00::|pass_on%2:38:00::|pass_on%2:38:01::|pass_on%2:40:00::|pass_on%2:40:01::|pass_on%2:40:03::|pass_on%2:41:00::,false,1,junior,selected_for_cross_level_review,false
220,press on,press on,cet6,approved_dictionary_candidate_pool,OEWN,v,press_on%2:38:00::,false,1,junior,selected_for_cross_level_review,false
221,push back,push back,cet6,approved_dictionary_candidate_pool,OEWN,n|v,push_back%1:04:00::|push_back%2:35:00::,false,1,junior,selected_for_cross_level_review,false
222,rest on,rest on,cet6,approved_dictionary_candidate_pool,OEWN,v,rest_on%2:35:00::|rest_on%2:42:00::,false,1,junior,selected_for_cross_level_review,false
223,rule out,rule out,cet6,approved_dictionary_candidate_pool,OEWN,v,rule_out%2:31:00::|rule_out%2:33:00::|rule_out%2:42:00::,true,0,junior,selected_for_cross_level_review,false
224,breach of trust,breach of trust,cet6,approved_dictionary_candidate_pool,OEWN,n,breach_of_trust%1:04:00::,true,2,cet6,selected_for_cross_level_review,false
225,broad spectrum,broad spectrum,cet6,approved_dictionary_candidate_pool,Moby,,,true,1,cet6,selected_for_cross_level_review,false
226,collision course,collision course,cet6,approved_dictionary_candidate_pool,OEWN,n,collision_course%1:04:00::|collision_course%1:17:00::,true,1,cet6,selected_for_cross_level_review,false
227,conspicuous consumption,conspicuous consumption,cet6,approved_dictionary_candidate_pool,OEWN,n,conspicuous_consumption%1:22:00::,true,1,cet6,selected_for_cross_level_review,false
228,copyright infringement,copyright infringement,cet6,approved_dictionary_candidate_pool,OEWN,n,copyright_infringement%1:04:00::,false,1,cet6,selected_for_cross_level_review,false
229,electoral college,electoral college,cet6,approved_dictionary_candidate_pool,OEWN,n,electoral_college%1:14:00::,true,2,cet6,selected_for_cross_level_review,false
230,free verse,free verse,cet6,approved_dictionary_candidate_pool,OEWN,n,free_verse%1:10:00::,true,2,cet6,selected_for_cross_level_review,false
231,optical illusion,optical illusion,cet6,approved_dictionary_candidate_pool,OEWN,n,optical_illusion%1:19:00::,true,1,cet6,selected_for_cross_level_review,false
232,tax evasion,tax evasion,cet6,approved_dictionary_candidate_pool,OEWN,n,tax_evasion%1:04:00::,true,2,cet6,selected_for_cross_level_review,false
233,urban sprawl,urban sprawl,cet6,approved_dictionary_candidate_pool,OEWN,n,urban_sprawl%1:15:00::,false,1,cet6,selected_for_cross_level_review,false
234,voter turnout,voter turnout,cet6,approved_dictionary_candidate_pool,OEWN,n,voter_turnout%1:09:00::,false,1,cet6,selected_for_cross_level_review,false
235,alter ego,alter ego,cet6,approved_dictionary_candidate_pool,OEWN,n,alter_ego%1:18:00::,true,1,cet6,selected_for_cross_level_review,false
236,blank verse,blank verse,cet6,approved_dictionary_candidate_pool,OEWN,n,blank_verse%1:10:00::,true,1,cet6,selected_for_cross_level_review,false
237,chamber music,chamber music,cet6,approved_dictionary_candidate_pool,OEWN,n,chamber_music%1:10:00::,true,1,cet6,selected_for_cross_level_review,false
238,decimal point,decimal point,cet6,approved_dictionary_candidate_pool,OEWN,n,decimal_point%1:10:00::,true,1,cet6,selected_for_cross_level_review,false
239,echo chamber,echo chamber,cet6,approved_dictionary_candidate_pool,OEWN,n,echo_chamber%1:06:00::,true,1,cet6,selected_for_cross_level_review,false
240,elbow grease,elbow grease,cet6,approved_dictionary_candidate_pool,OEWN,n,elbow_grease%1:04:00::,true,1,cet6,selected_for_cross_level_review,false
241,flip side,flip side,cet6,approved_dictionary_candidate_pool,OEWN,n,flip_side%1:24:00::,true,1,cet6,selected_for_cross_level_review,false
242,grand slam,grand slam,cet6,approved_dictionary_candidate_pool,OEWN,n,grand_slam%1:11:00::,true,1,cet6,selected_for_cross_level_review,false
243,glove compartment,glove compartment,cet6,approved_dictionary_candidate_pool,OEWN,n,glove_compartment%1:06:00::,true,1,cet6,selected_for_cross_level_review,false
244,heat shield,heat shield,cet6,approved_dictionary_candidate_pool,OEWN,n,heat_shield%1:06:00::,true,1,cet6,selected_for_cross_level_review,false
245,indefinite article,indefinite article,cet6,approved_dictionary_candidate_pool,OEWN,n,indefinite_article%1:10:00::,true,1,cet6,selected_for_cross_level_review,false
246,nuclear fusion,nuclear fusion,cet6,approved_dictionary_candidate_pool,OEWN,n,nuclear_fusion%1:22:00::,true,1,cet6,selected_for_cross_level_review,false
247,solitary confinement,solitary confinement,cet6,approved_dictionary_candidate_pool,OEWN,n,solitary_confinement%1:26:00::,true,1,cet6,selected_for_cross_level_review,false
248,tug of war,tug of war,cet6,approved_dictionary_candidate_pool,OEWN,n,tug-of-war%1:04:00::|tug-of-war%1:11:00::,true,1,cet6,selected_for_cross_level_review,false
249,witch hunt,witch hunt,cet6,approved_dictionary_candidate_pool,OEWN,n,witch-hunt%1:04:00::,true,1,cet6,selected_for_cross_level_review,false
250,civic pride,civic pride,cet6,approved_dictionary_candidate_pool,OEWN,n,civic_pride%1:07:00::,false,1,cet6,selected_for_cross_level_review,false
251,cruise liner,cruise liner,cet6,approved_dictionary_candidate_pool,OEWN,n,cruise_liner%1:06:00::,false,1,cet6,selected_for_cross_level_review,false
252,diesel fuel,diesel fuel,cet6,approved_dictionary_candidate_pool,OEWN,n,diesel_fuel%1:27:00::,false,1,cet6,selected_for_cross_level_review,false
253,elevator shaft,elevator shaft,cet6,approved_dictionary_candidate_pool,OEWN,n,elevator_shaft%1:06:00::,false,1,cet6,selected_for_cross_level_review,false
254,fiber optic,fiber optic,cet6,approved_dictionary_candidate_pool,OEWN,a,fiber-optic%3:01:00::,false,1,cet6,selected_for_cross_level_review,false
255,herbal medicine,herbal medicine,cet6,approved_dictionary_candidate_pool,OEWN,n,herbal_medicine%1:04:00::|herbal_medicine%1:06:00::,false,1,cet6,selected_for_cross_level_review,false
256,infant mortality,infant mortality,cet6,approved_dictionary_candidate_pool,OEWN,n,infant_mortality%1:28:00::,false,1,cet6,selected_for_cross_level_review,false
257,intuitive feeling,intuitive feeling,cet6,approved_dictionary_candidate_pool,OEWN,n,intuitive_feeling%1:09:00::,false,1,cet6,selected_for_cross_level_review,false
258,judicial system,judicial system,cet6,approved_dictionary_candidate_pool,OEWN,n,judicial_system%1:14:00::,false,1,cet6,selected_for_cross_level_review,false
259,land tenure,land tenure,cet6,approved_dictionary_candidate_pool,OEWN,n,land_tenure%1:21:00::,false,1,cet6,selected_for_cross_level_review,false
260,maritime law,maritime law,cet6,approved_dictionary_candidate_pool,OEWN,n,maritime_law%1:14:00::,false,1,cet6,selected_for_cross_level_review,false
261,mass hysteria,mass hysteria,cet6,approved_dictionary_candidate_pool,OEWN,n,mass_hysteria%1:26:00::,false,1,cet6,selected_for_cross_level_review,false
262,mortality rate,mortality rate,cet6,approved_dictionary_candidate_pool,OEWN,n,mortality_rate%1:28:00::,false,1,cet6,selected_for_cross_level_review,false
263,music genre,music genre,cet6,approved_dictionary_candidate_pool,OEWN,n,music_genre%1:10:00::,false,1,cet6,selected_for_cross_level_review,false
264,optical instrument,optical instrument,cet6,approved_dictionary_candidate_pool,OEWN,n,optical_instrument%1:06:00::,false,1,cet6,selected_for_cross_level_review,false
265,panoramic view,panoramic view,cet6,approved_dictionary_candidate_pool,OEWN,n,panoramic_view%1:09:00::,false,1,cet6,selected_for_cross_level_review,false
266,power grid,power grid,cet6,approved_dictionary_candidate_pool,OEWN,n,power_grid%1:06:00::,false,3,cet6,selected_for_cross_level_review,false
267,radioactive waste,radioactive waste,cet6,approved_dictionary_candidate_pool,OEWN,n,radioactive_waste%1:27:00::,false,3,cet6,selected_for_cross_level_review,false
268,soil erosion,soil erosion,cet6,approved_dictionary_candidate_pool,OEWN,n,soil_erosion%1:22:00::,false,2,cet6,selected_for_cross_level_review,false
269,tax deductible,tax deductible,cet6,approved_dictionary_candidate_pool,Moby,,,true,1,cet6,selected_for_cross_level_review,false
270,tax deduction,tax deduction,cet6,approved_dictionary_candidate_pool,OEWN,n,tax_deduction%1:21:00::,false,1,cet6,selected_for_cross_level_review,false
271,western hemisphere,western hemisphere,cet6,approved_dictionary_candidate_pool,OEWN,n,western_hemisphere%1:15:00::,false,1,cet6,selected_for_cross_level_review,false
272,crude oil,crude oil,cet6,approved_dictionary_candidate_pool,OEWN,n,crude_oil%1:27:00::,true,4,cet6,selected_for_cross_level_review,false
273,self esteem,self esteem,cet6,approved_dictionary_candidate_pool,OEWN,n,self-esteem%1:12:00::,true,4,cet6,selected_for_cross_level_review,false
274,self indulgent,self indulgent,cet6,approved_dictionary_candidate_pool,OEWN,a,self-indulgent%5:00:00:indulgent:00,true,1,cet6,selected_for_cross_level_review,false
275,auxiliary verb,auxiliary verb,cet6,approved_dictionary_candidate_pool,OEWN,n,auxiliary_verb%1:10:00::,true,1,cet6,selected_for_cross_level_review,false
276,finite verb,finite verb,cet6,approved_dictionary_candidate_pool,Moby,,,true,1,cet6,selected_for_cross_level_review,false
277,rhetorical device,rhetorical device,cet6,approved_dictionary_candidate_pool,OEWN,n,rhetorical_device%1:10:00::,false,1,cet6,selected_for_cross_level_review,false
278,economic recession,economic recession,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
279,social interaction,social interaction,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
280,economic inequality,economic inequality,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
281,scientific evidence,scientific evidence,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,2,manual_stage_check,selected_for_cross_level_review,false
282,legal system,legal system,cet6,approved_dictionary_candidate_pool,OEWN,n,legal_system%1:09:00::,false,0,senior_high,selected_for_cross_level_review,false
283,public policy,public policy,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
284,economic recovery,economic recovery,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,2,manual_stage_check,selected_for_cross_level_review,false
285,critical thinking,critical thinking,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,2,manual_stage_check,selected_for_cross_level_review,false
286,in light of,in light of,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
287,in the wake of,in the wake of,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,2,manual_stage_check,selected_for_cross_level_review,false
288,in the face of,in the face of,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,14,manual_stage_check,selected_for_cross_level_review,false
289,in line with,in line with,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,5,manual_stage_check,selected_for_cross_level_review,false
290,with a view to,with a view to,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,2,manual_stage_check,selected_for_cross_level_review,false
291,come to terms with,come to terms with,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
292,take for granted,take for granted,cet6,approved_dictionary_candidate_pool,OEWN,v,take_for_granted%2:31:00::,false,0,cet4,selected_for_cross_level_review,false
293,be subject to,be subject to,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
294,be confronted with,be confronted with,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
295,be exposed to,be exposed to,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
296,comply with,comply with,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,7,manual_stage_check,selected_for_cross_level_review,false
297,refrain from,refrain from,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,4,manual_stage_check,selected_for_cross_level_review,false
298,stem from,stem from,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,2,manual_stage_check,selected_for_cross_level_review,false
299,subscribe to,subscribe to,cet6,approved_dictionary_candidate_pool,OEWN,v,subscribe_to%2:40:00::,false,0,senior_high,selected_for_cross_level_review,false
300,interfere with,interfere with,cet6,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,4,manual_stage_check,selected_for_cross_level_review,false
